Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1732733,-,-,-,53.01,-57.02,0,446,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Wind Speed,Pressure
2021,1,1,0,30,-7.5,100,103,0.1,951
2021,1,1,1,30,-7.800000000000001,100,174,0.1,950
2021,1,1,2,30,-7.9,100,237,0.1,950
2021,1,1,3,30,-8.1,100,248,0.2,950
2021,1,1,4,30,-8.6,100,253,0.2,951
2021,1,1,5,30,-9.1,97.76,263,0.30000000000000004,952
2021,1,1,6,30,-9.4,96.16,272,0.30000000000000004,954
2021,1,1,7,30,-9.9,96.92,279,0.30000000000000004,955
2021,1,1,8,30,-10.600000000000001,98.19,283,0.30000000000000004,957
2021,1,1,9,30,-11.4,96.29,285,0.30000000000000004,958
2021,1,1,10,30,-12.200000000000001,94.21000000000001,286,0.30000000000000004,959
2021,1,1,11,30,-12.8,92.28,286,0.30000000000000004,960
2021,1,1,12,30,-13.100000000000001,89.53,286,0.30000000000000004,962
2021,1,1,13,30,-13.100000000000001,87.23,287,0.30000000000000004,963
2021,1,1,14,30,-13,85.74,288,0.30000000000000004,963
2021,1,1,15,30,-13.100000000000001,85.76,289,0.30000000000000004,964
2021,1,1,16,30,-13.600000000000001,87.07000000000001,290,0.30000000000000004,964
2021,1,1,17,30,-14.4,88.15,289,0.30000000000000004,965
2021,1,1,18,30,-15.5,89.10000000000001,287,0.30000000000000004,966
2021,1,1,19,30,-16.6,88.25,285,0.30000000000000004,967
2021,1,1,20,30,-17.5,86.74,283,0.30000000000000004,967
2021,1,1,21,30,-18.2,85.59,282,0.30000000000000004,968
2021,1,1,22,30,-18.8,84.83,282,0.30000000000000004,969
2021,1,1,23,30,-19,81.94,282,0.30000000000000004,969
2021,1,2,0,30,-19.6,82.97,281,0.30000000000000004,969
2021,1,2,1,30,-19.900000000000002,82.83,280,0.2,970
2021,1,2,2,30,-20.200000000000003,82.74,279,0.2,969
2021,1,2,3,30,-20.700000000000003,83.61,278,0.2,969
2021,1,2,4,30,-21.400000000000002,84.42,275,0.2,969
2021,1,2,5,30,-21.8,82.67,273,0.2,969
2021,1,2,6,30,-21.900000000000002,82.67,271,0.2,969
2021,1,2,7,30,-22.1,82.97,270,0.2,969
2021,1,2,8,30,-22.1,82.42,269,0.2,969
2021,1,2,9,30,-22.1,82.86,267,0.1,970
2021,1,2,10,30,-22,82.21000000000001,264,0.2,970
2021,1,2,11,30,-21.900000000000002,83.82000000000001,257,0.30000000000000004,970
2021,1,2,12,30,-21.200000000000003,79.88,258,0.30000000000000004,971
2021,1,2,13,30,-19.1,75.15,267,0.2,971
2021,1,2,14,30,-17.2,77.9,275,0.2,971
2021,1,2,15,30,-16.1,79.73,278,0.2,971
2021,1,2,16,30,-15.5,82.25,278,0.2,971
2021,1,2,17,30,-15.4,84.89,277,0.1,971
2021,1,2,18,30,-16.2,90.31,274,0.1,971
2021,1,2,19,30,-17.7,90.53,270,0.30000000000000004,971
2021,1,2,20,30,-18.8,86.24,265,0.6000000000000001,972
2021,1,2,21,30,-19.6,85.61,264,0.7000000000000001,972
2021,1,2,22,30,-19.900000000000002,85.38,268,0.8,972
2021,1,2,23,30,-19.900000000000002,86.01,271,0.9,972
2021,1,3,0,30,-20.1,87.15,274,0.9,972
2021,1,3,1,30,-20,85.86,276,0.8,972
2021,1,3,2,30,-19.5,82.89,276,0.8,972
2021,1,3,3,30,-18.900000000000002,80.89,278,0.7000000000000001,972
2021,1,3,4,30,-18.2,78.17,275,0.6000000000000001,972
2021,1,3,5,30,-17.7,75.9,253,0.5,972
2021,1,3,6,30,-17.6,75.56,226,0.5,972
2021,1,3,7,30,-17.7,76.13,213,0.6000000000000001,972
2021,1,3,8,30,-17.8,77.8,212,0.6000000000000001,972
2021,1,3,9,30,-18.6,83.39,222,0.7000000000000001,972
2021,1,3,10,30,-19.8,88.52,231,0.8,973
2021,1,3,11,30,-20.700000000000003,89.64,231,0.8,973
2021,1,3,12,30,-20.1,81.75,229,0.6000000000000001,973
2021,1,3,13,30,-17.3,71.46000000000001,222,0.30000000000000004,973
2021,1,3,14,30,-14.4,77.9,213,0.1,973
2021,1,3,15,30,-12.700000000000001,81.01,208,0.1,972
2021,1,3,16,30,-11.8,85.54,205,0.1,972
2021,1,3,17,30,-11.600000000000001,90.8,203,0.1,972
2021,1,3,18,30,-12.8,100,204,0.1,973
2021,1,3,19,30,-14.600000000000001,100,209,0.1,974
2021,1,3,20,30,-15.600000000000001,97.38,213,0.1,974
2021,1,3,21,30,-16.1,95.2,218,0.1,974
2021,1,3,22,30,-16.400000000000002,93.59,223,0.1,975
2021,1,3,23,30,-16.5,92.43,225,0.1,975
2021,1,4,0,30,-15.9,88.77,221,0.1,974
2021,1,4,1,30,-14.700000000000001,86.64,216,0.1,974
2021,1,4,2,30,-13.600000000000001,87.82000000000001,211,0.1,973
2021,1,4,3,30,-12.8,89.15,209,0.1,973
2021,1,4,4,30,-12.4,90.74,209,0.1,973
2021,1,4,5,30,-12,90.8,209,0.1,973
2021,1,4,6,30,-11.600000000000001,91,208,0.1,973
2021,1,4,7,30,-11.3,92.01,206,0.1,973
2021,1,4,8,30,-11.200000000000001,93.68,204,0.2,973
2021,1,4,9,30,-11.100000000000001,94.10000000000001,203,0.2,974
2021,1,4,10,30,-11.200000000000001,95,203,0.1,974
2021,1,4,11,30,-11.200000000000001,94.92,205,0.1,974
2021,1,4,12,30,-10.8,92.4,208,0.1,974
2021,1,4,13,30,-9.8,90,213,0.2,974
2021,1,4,14,30,-8.6,89.88,220,0.2,974
2021,1,4,15,30,-7.6000000000000005,91.17,228,0.2,973
2021,1,4,16,30,-7.1000000000000005,93.7,231,0.1,974
2021,1,4,17,30,-7.300000000000001,97.7,231,0.1,974
2021,1,4,18,30,-8.700000000000001,100,232,0.1,975
2021,1,4,19,30,-10.600000000000001,100,237,0.1,975
2021,1,4,20,30,-11.8,100,242,0.1,976
2021,1,4,21,30,-12.600000000000001,100,248,0.2,977
2021,1,4,22,30,-13.3,100,255,0.30000000000000004,977
2021,1,4,23,30,-13.700000000000001,98.42,257,0.4,977
2021,1,5,0,30,-13.9,98.06,260,0.6000000000000001,977
2021,1,5,1,30,-14,98.46000000000001,264,0.6000000000000001,977
2021,1,5,2,30,-13.9,98.13,267,0.7000000000000001,977
2021,1,5,3,30,-13.9,98.41,271,0.7000000000000001,977
2021,1,5,4,30,-13.8,98.09,277,0.6000000000000001,978
2021,1,5,5,30,-13.700000000000001,97.92,288,0.6000000000000001,978
2021,1,5,6,30,-13.700000000000001,97.76,299,0.6000000000000001,979
2021,1,5,7,30,-13.700000000000001,97.31,307,0.6000000000000001,979
2021,1,5,8,30,-13.600000000000001,97.55,310,0.5,980
2021,1,5,9,30,-13.5,97.32000000000001,308,0.4,980
2021,1,5,10,30,-13.4,97.09,301,0.4,981
2021,1,5,11,30,-13.3,96.59,287,0.30000000000000004,981
2021,1,5,12,30,-12.600000000000001,92.18,266,0.2,981
2021,1,5,13,30,-11.100000000000001,87.19,235,0.1,981
2021,1,5,14,30,-9.200000000000001,87.17,189,0,981
2021,1,5,15,30,-7.7,90.57000000000001,156,0,981
2021,1,5,16,30,-7.1000000000000005,93.87,140,0,980
2021,1,5,17,30,-7.2,98.64,112,0.1,980
2021,1,5,18,30,-8.4,100,93,0.4,981
2021,1,5,19,30,-10,100,96,0.6000000000000001,981
2021,1,5,20,30,-10.8,100,97,0.6000000000000001,981
2021,1,5,21,30,-10.8,100,92,0.5,982
2021,1,5,22,30,-10.5,100,86,0.4,982
2021,1,5,23,30,-10.3,100,83,0.4,982
2021,1,6,0,30,-10.100000000000001,100,69,0.30000000000000004,981
2021,1,6,1,30,-10,100,64,0.30000000000000004,980
2021,1,6,2,30,-9.5,100,58,0.30000000000000004,979
2021,1,6,3,30,-9.1,100,48,0.30000000000000004,979
2021,1,6,4,30,-8.8,100,35,0.2,978
2021,1,6,5,30,-8.3,100,30,0.1,977
2021,1,6,6,30,-7.6000000000000005,100,32,0.1,977
2021,1,6,7,30,-7,100,26,0.1,976
2021,1,6,8,30,-6.9,100,12,0.1,976
2021,1,6,9,30,-6.7,100,5,0.2,975
2021,1,6,10,30,-6.5,100,3,0.2,975
2021,1,6,11,30,-6.300000000000001,100,179,0.2,974
2021,1,6,12,30,-6.1000000000000005,100,357,0.2,973
2021,1,6,13,30,-5.7,100,356,0.2,972
2021,1,6,14,30,-5.300000000000001,100,356,0.2,971
2021,1,6,15,30,-4.7,100,356,0.2,969
2021,1,6,16,30,-4.1000000000000005,100,179,0.2,968
2021,1,6,17,30,-3.7,100,2,0.2,968
2021,1,6,18,30,-3.4000000000000004,100,180,0.2,967
2021,1,6,19,30,-3.4000000000000004,100,357,0.2,967
2021,1,6,20,30,-3.2,100,357,0.2,966
2021,1,6,21,30,-2.9000000000000004,100,358,0.2,966
2021,1,6,22,30,-2.8000000000000003,100,358,0.2,966
2021,1,6,23,30,-2.8000000000000003,100,358,0.2,965
2021,1,7,0,30,-2.6,100,357,0.2,964
2021,1,7,1,30,-2.5,100,357,0.2,964
2021,1,7,2,30,-2.4000000000000004,100,358,0.2,963
2021,1,7,3,30,-2.3000000000000003,100,180,0.1,963
2021,1,7,4,30,-2.3000000000000003,100,178,0.1,963
2021,1,7,5,30,-2.3000000000000003,100,354,0.1,963
2021,1,7,6,30,-2.2,100,349,0.1,963
2021,1,7,7,30,-2.2,100,345,0.1,963
2021,1,7,8,30,-2.1,100,343,0.1,964
2021,1,7,9,30,-2.1,100,342,0.1,964
2021,1,7,10,30,-2.1,100,340,0.1,965
2021,1,7,11,30,-2.1,100,336,0.1,966
2021,1,7,12,30,-2.1,100,333,0.1,966
2021,1,7,13,30,-2,100,333,0.1,966
2021,1,7,14,30,-1.9000000000000001,100,336,0.1,966
2021,1,7,15,30,-1.8,100,340,0.2,966
2021,1,7,16,30,-1.7000000000000002,100,343,0.2,965
2021,1,7,17,30,-1.8,100,343,0.2,965
2021,1,7,18,30,-2,100,345,0.2,965
2021,1,7,19,30,-2.2,100,347,0.2,965
2021,1,7,20,30,-2.3000000000000003,100,350,0.2,965
2021,1,7,21,30,-2.3000000000000003,100,352,0.2,965
2021,1,7,22,30,-2.3000000000000003,100,353,0.2,964
2021,1,7,23,30,-2.2,100,354,0.2,964
2021,1,8,0,30,-2,100,356,0.2,962
2021,1,8,1,30,-1.9000000000000001,100,358,0.30000000000000004,961
2021,1,8,2,30,-1.8,100,359,0.30000000000000004,960
2021,1,8,3,30,-1.7000000000000002,100,181,0.30000000000000004,959
2021,1,8,4,30,-1.6,100,3,0.30000000000000004,958
2021,1,8,5,30,-1.5,100,4,0.2,957
2021,1,8,6,30,-1.4000000000000001,100,5,0.2,957
2021,1,8,7,30,-1.3,100,4,0.2,957
2021,1,8,8,30,-1.3,100,4,0.2,957
2021,1,8,9,30,-1.3,100,180,0.2,957
2021,1,8,10,30,-1.3,100,354,0.2,957
2021,1,8,11,30,-1.3,100,350,0.2,957
2021,1,8,12,30,-1.3,100,348,0.2,956
2021,1,8,13,30,-1.3,100,347,0.2,956
2021,1,8,14,30,-1.3,100,345,0.2,955
2021,1,8,15,30,-1.3,100,343,0.2,955
2021,1,8,16,30,-1.4000000000000001,100,341,0.2,955
2021,1,8,17,30,-1.5,100,339,0.2,954
2021,1,8,18,30,-1.6,100,338,0.2,955
2021,1,8,19,30,-1.7000000000000002,100,336,0.2,955
2021,1,8,20,30,-1.9000000000000001,100,335,0.2,955
2021,1,8,21,30,-2,100,334,0.2,955
2021,1,8,22,30,-2,100,333,0.2,954
2021,1,8,23,30,-2,100,333,0.2,954
2021,1,9,0,30,-2,100,331,0.30000000000000004,954
2021,1,9,1,30,-2.1,100,331,0.30000000000000004,954
2021,1,9,2,30,-2.3000000000000003,100,331,0.30000000000000004,954
2021,1,9,3,30,-2.4000000000000004,100,330,0.30000000000000004,953
2021,1,9,4,30,-2.4000000000000004,100,330,0.30000000000000004,953
2021,1,9,5,30,-2.4000000000000004,100,331,0.30000000000000004,953
2021,1,9,6,30,-2.4000000000000004,100,331,0.30000000000000004,953
2021,1,9,7,30,-2.5,100,331,0.30000000000000004,953
2021,1,9,8,30,-2.6,100,332,0.30000000000000004,954
2021,1,9,9,30,-2.8000000000000003,100,332,0.30000000000000004,954
2021,1,9,10,30,-2.9000000000000004,100,332,0.30000000000000004,954
2021,1,9,11,30,-3.1,100,331,0.30000000000000004,955
2021,1,9,12,30,-3.2,100,330,0.30000000000000004,955
2021,1,9,13,30,-3.3000000000000003,100,328,0.30000000000000004,955
2021,1,9,14,30,-3.4000000000000004,100,326,0.30000000000000004,955
2021,1,9,15,30,-3.5,100,324,0.30000000000000004,955
2021,1,9,16,30,-3.7,100,323,0.30000000000000004,955
