Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1732756,-,-,-,52.09,-57.02,0,424,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Wind Speed,Wind Direction
2006,1,1,0,30,-6.800000000000001,98.97,956,0.8,341
2006,1,1,1,30,-7.300000000000001,99.69,957,0.8,337
2006,1,1,2,30,-8.1,100,959,0.7000000000000001,332
2006,1,1,3,30,-9.4,100,960,0.7000000000000001,326
2006,1,1,4,30,-11.100000000000001,100,961,0.7000000000000001,322
2006,1,1,5,30,-12.8,100,963,0.7000000000000001,319
2006,1,1,6,30,-14.200000000000001,97.61,964,0.7000000000000001,318
2006,1,1,7,30,-15.100000000000001,94.82000000000001,965,0.6000000000000001,319
2006,1,1,8,30,-15.600000000000001,92.96000000000001,966,0.6000000000000001,320
2006,1,1,9,30,-15.8,91.32000000000001,967,0.6000000000000001,320
2006,1,1,10,30,-16,91.7,968,0.6000000000000001,322
2006,1,1,11,30,-16,90.57000000000001,969,0.6000000000000001,326
2006,1,1,12,30,-15.700000000000001,88.78,969,0.6000000000000001,330
2006,1,1,13,30,-14.9,87.94,970,0.5,332
2006,1,1,14,30,-13.8,87.72,970,0.5,336
2006,1,1,15,30,-12.8,89.65,970,0.5,338
2006,1,1,16,30,-12.200000000000001,92.27,971,0.4,339
2006,1,1,17,30,-12.200000000000001,94.64,972,0.4,337
2006,1,1,18,30,-13.100000000000001,97.93,973,0.4,337
2006,1,1,19,30,-14.700000000000001,99.39,973,0.4,340
2006,1,1,20,30,-16.3,96.4,974,0.4,344
2006,1,1,21,30,-17.400000000000002,94.04,974,0.4,348
2006,1,1,22,30,-17.900000000000002,92.2,974,0.4,350
2006,1,1,23,30,-18,90.32000000000001,974,0.4,351
2006,1,2,0,30,-19.3,94.63,975,0.30000000000000004,347
2006,1,2,1,30,-20.200000000000003,92.65,975,0.4,346
2006,1,2,2,30,-20.700000000000003,90.35000000000001,975,0.4,348
2006,1,2,3,30,-21.1,90.57000000000001,974,0.4,351
2006,1,2,4,30,-21.3,88.41,974,0.4,352
2006,1,2,5,30,-21.3,88.65,974,0.6000000000000001,346
2006,1,2,6,30,-21.200000000000003,85.69,974,0.9,339
2006,1,2,7,30,-20.5,77.92,973,1.2000000000000002,337
2006,1,2,8,30,-19.1,71.95,973,1.2000000000000002,337
2006,1,2,9,30,-18,69.38,973,0.9,338
2006,1,2,10,30,-17.6,69.3,973,0.5,330
2006,1,2,11,30,-17.5,69.91,973,0.30000000000000004,310
2006,1,2,12,30,-17,68.27,973,0.2,290
2006,1,2,13,30,-15.600000000000001,64.66,972,0.1,245
2006,1,2,14,30,-13.8,65.1,971,0.1,204
2006,1,2,15,30,-12.5,78.5,970,0.1,273
2006,1,2,16,30,-12.100000000000001,91.31,969,0.1,345
2006,1,2,17,30,-12.4,94.60000000000001,969,0.2,336
2006,1,2,18,30,-13.3,92.07000000000001,969,0.6000000000000001,331
2006,1,2,19,30,-14.8,91.89,969,0.9,335
2006,1,2,20,30,-16.5,95.87,968,1.1,338
2006,1,2,21,30,-18.2,99.13,968,1.2000000000000002,341
2006,1,2,22,30,-19.400000000000002,95.5,968,0.9,345
2006,1,2,23,30,-19.700000000000003,89.89,967,0.7000000000000001,348
2006,1,3,0,30,-18.2,87.13,967,0.4,354
2006,1,3,1,30,-18.1,90.33,966,0.4,350
2006,1,3,2,30,-18.400000000000002,89.60000000000001,966,0.4,347
2006,1,3,3,30,-18.6,89.01,966,0.4,345
2006,1,3,4,30,-18.7,88.61,965,0.4,342
2006,1,3,5,30,-18.8,88.54,965,0.4,337
2006,1,3,6,30,-18.8,88.94,965,0.4,334
2006,1,3,7,30,-18.900000000000002,89.10000000000001,965,0.4,333
2006,1,3,8,30,-18.8,88.02,965,0.4,331
2006,1,3,9,30,-18.7,89.34,965,0.4,328
