Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3080440,-,-,-,50.33,73.42,0,541,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Wind Speed,Wind Direction
2019,1,1,0,30,-20.400000000000002,82.85000000000001,969,1.8,244
2019,1,1,1,30,-20.700000000000003,82.86,969,1.8,237
2019,1,1,2,30,-21.1,82.66,969,1.9000000000000001,228
2019,1,1,3,30,-20.8,78.36,969,2.5,220
2019,1,1,4,30,-19.700000000000003,76.71000000000001,969,3.4000000000000004,215
2019,1,1,5,30,-18.400000000000002,77.08,969,3.5,214
2019,1,1,6,30,-17,77.66,968,3.2,217
2019,1,1,7,30,-16,79.61,968,2.7,222
2019,1,1,8,30,-15.5,80.60000000000001,968,2,228
2019,1,1,9,30,-15.9,84.02,967,1.1,235
2019,1,1,10,30,-16.8,83.96000000000001,967,0.7000000000000001,240
2019,1,1,11,30,-17.6,83.04,967,0.6000000000000001,233
2019,1,1,12,30,-18.1,84.06,966,0.6000000000000001,202
2019,1,1,13,30,-18.6,85.44,966,0.7000000000000001,168
2019,1,1,14,30,-19.1,86.77,966,0.9,153
2019,1,1,15,30,-19.6,88.07000000000001,966,1,152
2019,1,1,16,30,-20,87.62,966,1.1,156
2019,1,1,17,30,-20.3,85.98,966,1.1,164
2019,1,1,18,30,-20.6,84.49,966,1,171
2019,1,1,19,30,-20.8,83.10000000000001,966,0.9,177
2019,1,1,20,30,-20.900000000000002,81.7,966,0.8,182
2019,1,1,21,30,-21,80.9,965,0.7000000000000001,184
2019,1,1,22,30,-21.1,80.51,965,0.7000000000000001,179
2019,1,1,23,30,-21.200000000000003,79.49,965,0.6000000000000001,174
2019,1,2,0,30,-21.900000000000002,81.62,965,0.7000000000000001,155
2019,1,2,1,30,-22.400000000000002,81.36,965,0.8,152
2019,1,2,2,30,-22.8,80.60000000000001,965,0.9,153
2019,1,2,3,30,-22.5,76.7,965,1.1,156
2019,1,2,4,30,-21.6,74.73,965,1.3,165
2019,1,2,5,30,-20.400000000000002,74.04,965,1.2000000000000002,172
2019,1,2,6,30,-19.3,76.09,965,0.8,155
2019,1,2,7,30,-18.3,77.12,965,0.6000000000000001,91
2019,1,2,8,30,-17.7,79.72,965,0.7000000000000001,47
2019,1,2,9,30,-17.6,82.75,965,0.8,51
2019,1,2,10,30,-18.6,87,966,0.8,58
2019,1,2,11,30,-19.900000000000002,85.34,966,0.9,64
2019,1,2,12,30,-20.900000000000002,83.84,966,1,70
2019,1,2,13,30,-21.700000000000003,83.38,966,1.1,78
2019,1,2,14,30,-22.200000000000003,82.53,966,1.2000000000000002,85
2019,1,2,15,30,-22.5,81.5,966,1.2000000000000002,89
2019,1,2,16,30,-22.700000000000003,80.9,966,1.3,91
2019,1,2,17,30,-22.900000000000002,81.17,966,1.3,92
2019,1,2,18,30,-22.900000000000002,80.52,966,1.3,92
2019,1,2,19,30,-23,80.73,966,1.3,91
2019,1,2,20,30,-23.200000000000003,81.44,967,1.4000000000000001,89
2019,1,2,21,30,-23.6,82.71000000000001,967,1.4000000000000001,88
2019,1,2,22,30,-23.900000000000002,82.44,967,1.5,87
2019,1,2,23,30,-24.1,81.4,967,1.5,87
2019,1,3,0,30,-24.6,82.24,967,1.7000000000000002,89
2019,1,3,1,30,-25,82.09,967,1.7000000000000002,91
2019,1,3,2,30,-25.200000000000003,80.65,967,1.7000000000000002,94
2019,1,3,3,30,-24.700000000000003,76.04,968,2,97
2019,1,3,4,30,-23.5,74.4,968,2.3000000000000003,100
2019,1,3,5,30,-22.200000000000003,74.27,967,2.2,96
2019,1,3,6,30,-20.900000000000002,75.31,967,2,87
2019,1,3,7,30,-19.8,76.93,967,2.2,78
2019,1,3,8,30,-19,79.37,966,2.6,72
2019,1,3,9,30,-19.200000000000003,83.63,967,2.7,69
2019,1,3,10,30,-20.3,87.55,967,2.3000000000000003,69
2019,1,3,11,30,-21.5,83.95,966,2.4000000000000004,72
2019,1,3,12,30,-22.200000000000003,81.35000000000001,966,2.8000000000000003,76
2019,1,3,13,30,-22.700000000000003,81.07000000000001,966,3,80
2019,1,3,14,30,-23.1,80.59,966,2.8000000000000003,83
2019,1,3,15,30,-23.5,80.12,965,2.5,84
2019,1,3,16,30,-24,80.4,965,2.2,83
2019,1,3,17,30,-24.400000000000002,80.14,965,2,79
2019,1,3,18,30,-24.700000000000003,79.36,964,1.9000000000000001,74
2019,1,3,19,30,-24.900000000000002,78.61,964,2.1,70
2019,1,3,20,30,-25,78.05,964,2.4000000000000004,67
2019,1,3,21,30,-25.200000000000003,78.57000000000001,964,2.7,67
2019,1,3,22,30,-25.3,77.91,964,2.9000000000000004,67
2019,1,3,23,30,-25.400000000000002,77.41,964,2.9000000000000004,67
2019,1,4,0,30,-25.6,77.77,963,2.8000000000000003,66
2019,1,4,1,30,-25.700000000000003,77.78,964,2.7,66
2019,1,4,2,30,-25.6,76.97,964,2.8000000000000003,65
2019,1,4,3,30,-25.1,74.38,964,3.2,63
2019,1,4,4,30,-24.1,73.84,964,3.7,60
2019,1,4,5,30,-22.900000000000002,73.5,963,3.8000000000000003,58
2019,1,4,6,30,-21.6,74.12,963,3.8000000000000003,54
2019,1,4,7,30,-20.5,75.45,963,3.9000000000000004,51
2019,1,4,8,30,-19.8,77.74,962,4,47
2019,1,4,9,30,-19.6,79.55,963,3.6,42
2019,1,4,10,30,-20.200000000000003,84.02,963,2.6,35
2019,1,4,11,30,-21.3,83.85000000000001,963,2.1,32
2019,1,4,12,30,-22.1,81.72,963,2.2,33
2019,1,4,13,30,-22.6,81.2,964,2.1,35
2019,1,4,14,30,-23,81.18,964,2,38
2019,1,4,15,30,-23.5,81.47,964,1.7000000000000002,40
2019,1,4,16,30,-23.8,80.38,965,1.5,39
2019,1,4,17,30,-23.900000000000002,79.41,965,1.4000000000000001,36
2019,1,4,18,30,-23.900000000000002,79.38,966,1.3,34
2019,1,4,19,30,-23.900000000000002,79.93,966,1.3,35
2019,1,4,20,30,-23.8,79.61,966,1.3,40
2019,1,4,21,30,-23.5,79.59,967,1.3,50
2019,1,4,22,30,-23.1,80.32000000000001,967,1.2000000000000002,61
2019,1,4,23,30,-22.900000000000002,81.9,967,1.2000000000000002,68
2019,1,5,0,30,-22.6,81.43,967,0.9,78
2019,1,5,1,30,-22.400000000000002,82.02,968,0.7000000000000001,69
2019,1,5,2,30,-22.3,82.12,969,0.7000000000000001,48
2019,1,5,3,30,-21.8,78.97,970,0.7000000000000001,38
2019,1,5,4,30,-20.700000000000003,77.26,970,0.8,41
2019,1,5,5,30,-19.400000000000002,78.79,971,0.9,43
2019,1,5,6,30,-18.3,79.74,971,0.8,46
2019,1,5,7,30,-17.2,80.58,971,0.8,62
2019,1,5,8,30,-16.2,81.52,971,0.8,94
2019,1,5,9,30,-15.600000000000001,82.68,971,0.8,126
2019,1,5,10,30,-15.8,85.82000000000001,972,0.7000000000000001,147
2019,1,5,11,30,-16.400000000000002,83.94,972,0.7000000000000001,154
2019,1,5,12,30,-17.1,83.3,972,0.9,150
2019,1,5,13,30,-17.8,83.22,972,1.1,146
2019,1,5,14,30,-18.900000000000002,85.03,973,1.4000000000000001,145
2019,1,5,15,30,-20.200000000000003,86.27,973,1.6,145
2019,1,5,16,30,-21.5,86.47,973,1.9000000000000001,147
2019,1,5,17,30,-22.3,84.52,972,2.3000000000000003,151
2019,1,5,18,30,-22.400000000000002,81.61,972,2.8000000000000003,155
2019,1,5,19,30,-22.1,79.94,972,3.4000000000000004,161
2019,1,5,20,30,-21.900000000000002,80.28,971,3.7,167
2019,1,5,21,30,-22.1,81.77,971,3.7,176
2019,1,5,22,30,-22.5,82.01,971,3.4000000000000004,184
2019,1,5,23,30,-22.700000000000003,80.12,971,3.3000000000000003,188
2019,1,6,0,30,-22.900000000000002,79.78,970,3.4000000000000004,190
2019,1,6,1,30,-22.900000000000002,79.75,970,3.7,189
2019,1,6,2,30,-22.6,78.84,970,4.1000000000000005,189
2019,1,6,3,30,-21.900000000000002,76.24,970,4.6000000000000005,189
2019,1,6,4,30,-20.3,73.35000000000001,969,4.9,190
2019,1,6,5,30,-18.2,75.44,969,4.9,191
2019,1,6,6,30,-16.400000000000002,78.92,968,4.800000000000001,192
2019,1,6,7,30,-14.8,81.4,968,4.6000000000000005,193
2019,1,6,8,30,-13.5,83.60000000000001,967,4.3,196
2019,1,6,9,30,-13.100000000000001,87.93,967,3.9000000000000004,197
2019,1,6,10,30,-14,92.3,966,3.3000000000000003,196
2019,1,6,11,30,-15.200000000000001,89.36,966,3.5,193
2019,1,6,12,30,-15.4,85.81,965,4.2,192
2019,1,6,13,30,-15.100000000000001,85.53,964,5,192
2019,1,6,14,30,-15.200000000000001,87.39,964,5.2,193
2019,1,6,15,30,-15.8,87.51,963,4.9,196
2019,1,6,16,30,-16.7,87.33,963,4.5,198
2019,1,6,17,30,-17.5,86.32000000000001,962,4.3,200
2019,1,6,18,30,-18.1,85.29,962,4.3,201
2019,1,6,19,30,-18.2,83.48,961,4.6000000000000005,202
2019,1,6,20,30,-18,83.09,961,5.1000000000000005,202
2019,1,6,21,30,-17.8,83.26,960,5.4,201
2019,1,6,22,30,-17.7,83.01,959,5.5,199
2019,1,6,23,30,-17.6,83.11,959,5.6000000000000005,198
2019,1,7,0,30,-17.5,83.03,957,5.5,196
2019,1,7,1,30,-17.6,83.77,956,5.4,196
2019,1,7,2,30,-17.7,83.45,956,5.2,196
2019,1,7,3,30,-17.3,79.61,956,5.1000000000000005,196
2019,1,7,4,30,-16,76.62,955,5,197
2019,1,7,5,30,-14.3,77.3,955,4.800000000000001,198
2019,1,7,6,30,-12.8,78.33,954,4.5,200
2019,1,7,7,30,-11.5,80.27,953,4.2,200
2019,1,7,8,30,-10.600000000000001,82.88,953,3.6,201
2019,1,7,9,30,-10.9,89.35000000000001,952,2.7,203
2019,1,7,10,30,-12.3,92.99,952,2.1,203
2019,1,7,11,30,-13.5,88.47,951,2,204
2019,1,7,12,30,-13.9,85.85000000000001,951,2.1,204
2019,1,7,13,30,-13.9,85.34,950,2,205
2019,1,7,14,30,-13.700000000000001,84.22,950,2,207
2019,1,7,15,30,-13.600000000000001,82.53,950,2,206
2019,1,7,16,30,-13.200000000000001,79.64,949,1.9000000000000001,204
2019,1,7,17,30,-13,78.9,949,1.9000000000000001,201
2019,1,7,18,30,-12.8,76.97,948,1.8,198
2019,1,7,19,30,-12.700000000000001,75.49,948,1.8,194
2019,1,7,20,30,-12.5,73.65,948,1.8,190
2019,1,7,21,30,-12.600000000000001,73.59,947,1.9000000000000001,188
2019,1,7,22,30,-12.700000000000001,73.37,947,2,189
2019,1,7,23,30,-12.8,73.27,947,2,190
2019,1,8,0,30,-12.9,74.19,946,2,192
2019,1,8,1,30,-12.9,75.3,946,1.9000000000000001,192
2019,1,8,2,30,-12.9,76.44,946,1.8,189
2019,1,8,3,30,-12.4,75.08,945,1.8,186
2019,1,8,4,30,-11.200000000000001,74.85000000000001,945,2.3000000000000003,186
2019,1,8,5,30,-10,77.01,945,3,189
2019,1,8,6,30,-9.3,79.19,945,3.5,193
2019,1,8,7,30,-8.8,82.45,944,3.5,196
2019,1,8,8,30,-8.4,84.91,944,3.4000000000000004,199
2019,1,8,9,30,-8.4,87.86,944,3.2,205
2019,1,8,10,30,-9,91.47,944,3.1,214
2019,1,8,11,30,-9.700000000000001,90.9,944,3.4000000000000004,222
2019,1,8,12,30,-10.200000000000001,90.61,944,4.1000000000000005,228
2019,1,8,13,30,-10.600000000000001,91.54,945,4.7,232
2019,1,8,14,30,-11.100000000000001,91.78,945,5.1000000000000005,234
2019,1,8,15,30,-11.600000000000001,90.98,945,5.2,233
2019,1,8,16,30,-12,90.61,945,5.300000000000001,230
2019,1,8,17,30,-12.3,90.10000000000001,946,5.4,227
2019,1,8,18,30,-12.600000000000001,89.84,946,5.7,225
2019,1,8,19,30,-12.700000000000001,88.96000000000001,946,5.9,224
2019,1,8,20,30,-12.9,88.74,946,6,224
2019,1,8,21,30,-13.100000000000001,88.2,947,6,226
2019,1,8,22,30,-13.3,87.55,947,6,229
2019,1,8,23,30,-13.3,85.62,947,6,231
2019,1,9,0,30,-13.5,85.96000000000001,948,6.1000000000000005,240
2019,1,9,1,30,-13.600000000000001,86.37,949,6.1000000000000005,240
2019,1,9,2,30,-13.8,85.59,950,6,239
2019,1,9,3,30,-13.9,85.09,950,6.1000000000000005,238
2019,1,9,4,30,-13.600000000000001,84.5,951,6.2,235
2019,1,9,5,30,-13.100000000000001,84.78,951,6.4,234
2019,1,9,6,30,-12.600000000000001,86.22,951,6.6000000000000005,235
2019,1,9,7,30,-12.100000000000001,86.61,952,6.800000000000001,235
2019,1,9,8,30,-12,87.9,952,6.800000000000001,236
2019,1,9,9,30,-12.200000000000001,89.25,953,6.4,237
2019,1,9,10,30,-12.700000000000001,90.22,953,5.7,237
2019,1,9,11,30,-13.5,90.27,954,5.4,236
2019,1,9,12,30,-14.200000000000001,89.18,954,5.5,237
2019,1,9,13,30,-14.9,88.75,954,5.5,238
2019,1,9,14,30,-15.4,87.36,955,5.300000000000001,239
2019,1,9,15,30,-15.8,85.97,955,5,239
2019,1,9,16,30,-16.1,85.24,955,4.7,239
2019,1,9,17,30,-16.3,84.5,955,4.3,240
2019,1,9,18,30,-16.6,84.67,955,4,243
2019,1,9,19,30,-16.900000000000002,84.56,955,3.7,246
2019,1,9,20,30,-17.3,84.88,955,3.3000000000000003,250
2019,1,9,21,30,-18,86.08,956,2.9000000000000004,254
2019,1,9,22,30,-18.8,85.41,956,2.4000000000000004,258
2019,1,9,23,30,-19.3,82.66,956,2.2,261
2019,1,10,0,30,-20.1,83.96000000000001,956,1.8,264
2019,1,10,1,30,-20.400000000000002,83.08,956,1.6,266
2019,1,10,2,30,-20.5,81.56,956,1.5,270
2019,1,10,3,30,-20,77.68,957,1.4000000000000001,277
2019,1,10,4,30,-18.8,76.33,957,1.6,284
2019,1,10,5,30,-17.8,77.38,957,1.6,288
