Year,Month,Day,Hour,Minute,Temperature,Pressure,Wind Speed,Wind Direction,Relative Humidity
2011,1,1,0,30,-27.9,869,1.7000000000000002,140,74.77
2011,1,1,1,30,-26.0,870,2.3000000000000003,138,64.22
2011,1,1,2,30,-23.6,870,3.0,145,55.58
2011,1,1,3,30,-21.3,870,3.3000000000000003,158,48.35
2011,1,1,4,30,-19.8,870,3.5,165,43.77
2011,1,1,5,30,-18.9,870,3.3000000000000003,166,40.82
2011,1,1,6,30,-18.5,870,2.9000000000000004,162,40.3
2011,1,1,7,30,-19.5,870,2.1,152,45.38
2011,1,1,8,30,-21.6,870,1.5,141,51.4
2011,1,1,9,30,-23.3,871,1.6,135,55.85
2011,1,1,10,30,-24.0,871,1.7000000000000002,137,59.26
2011,1,1,11,30,-24.5,871,1.7000000000000002,142,62.4
2011,1,1,12,30,-24.9,872,1.7000000000000002,148,65.47
2011,1,1,13,30,-25.200000000000003,872,1.6,151,68.05
2011,1,1,14,30,-25.4,872,1.5,151,70.14
2011,1,1,15,30,-25.700000000000003,872,1.5,147,73.02
2011,1,1,16,30,-25.9,872,1.4,141,75.37
2011,1,1,17,30,-26.200000000000003,872,1.4,132,78.35000000000001
2011,1,1,18,30,-26.5,872,1.5,125,81.11
2011,1,1,19,30,-26.8,872,1.6,122,83.78
2011,1,1,20,30,-26.8,872,1.7000000000000002,121,84.23
2011,1,1,21,30,-26.4,872,1.7000000000000002,119,81.79
2011,1,1,22,30,-25.8,872,1.8,115,77.91
2011,1,1,23,30,-25.4,872,1.9,113,75.59
2011,1,2,0,30,-24.4,873,2.4000000000000004,109,69.96000000000001
2011,1,2,1,30,-23.3,873,2.8000000000000003,110,65.54
2011,1,2,2,30,-21.9,872,2.9000000000000004,116,60.66
2011,1,2,3,30,-20.5,872,3.1,121,56.13
2011,1,2,4,30,-19.6,871,3.3000000000000003,118,52.2
2011,1,2,5,30,-19.0,871,3.3000000000000003,114,50.23
2011,1,2,6,30,-18.6,871,3.3000000000000003,114,49.1
2011,1,2,7,30,-18.7,871,3.1,113,50.54
2011,1,2,8,30,-19.0,871,2.6,107,53.49
2011,1,2,9,30,-19.3,871,2.5,99,55.25
2011,1,2,10,30,-19.3,871,2.8000000000000003,93,55.09
2011,1,2,11,30,-19.4,871,3.2,91,55.05
2011,1,2,12,30,-19.4,871,3.4000000000000004,90,54.43
2011,1,2,13,30,-19.4,871,3.6,90,53.81
2011,1,2,14,30,-19.4,871,3.7,90,53.19
2011,1,2,15,30,-19.4,871,3.6,89,52.53
2011,1,2,16,30,-19.4,871,3.5,88,51.76
2011,1,2,17,30,-19.5,870,3.4000000000000004,87,51.31
2011,1,2,18,30,-19.6,870,3.2,86,50.97
2011,1,2,19,30,-19.8,870,3.1,85,51.04
2011,1,2,20,30,-20.0,870,3.0,84,51.07
2011,1,2,21,30,-20.3,870,3.0,82,51.47
2011,1,2,22,30,-20.5,870,3.1,80,51.36
2011,1,2,23,30,-20.6,870,3.2,78,50.92
2011,1,3,0,30,-20.5,870,3.5,75,49.84
2011,1,3,1,30,-19.700000000000003,870,3.7,75,47.29
2011,1,3,2,30,-18.5,870,3.7,81,44.84
2011,1,3,3,30,-17.2,870,3.6,90,44.96
2011,1,3,4,30,-16.2,869,3.6,96,46.18
2011,1,3,5,30,-15.6,869,3.7,97,48.45
2011,1,3,6,30,-15.5,869,3.7,95,50.41
2011,1,3,7,30,-15.9,869,3.4000000000000004,92,53.21
2011,1,3,8,30,-16.6,869,2.4000000000000004,90,56.49
2011,1,3,9,30,-17.2,869,1.8,87,57.65
2011,1,3,10,30,-17.3,869,1.6,86,57.57
2011,1,3,11,30,-17.5,869,1.4,84,58.11
2011,1,3,12,30,-17.6,869,1.3,81,58.03
2011,1,3,13,30,-17.7,868,1.3,75,57.92
2011,1,3,14,30,-17.8,868,1.3,67,58.06
2011,1,3,15,30,-17.900000000000002,868,1.4,58,58.5
2011,1,3,16,30,-18.1,868,1.5,49,59.41
2011,1,3,17,30,-18.3,868,1.6,42,60.43
2011,1,3,18,30,-18.6,867,1.6,36,61.55
2011,1,3,19,30,-18.9,867,1.6,27,62.31
2011,1,3,20,30,-19.1,867,1.7000000000000002,18,62.52
2011,1,3,21,30,-19.200000000000003,867,1.9,9,62.440000000000005
2011,1,3,22,30,-19.1,867,2.1,182,61.9
2011,1,3,23,30,-19.0,867,2.2,358,61.24
2011,1,4,0,30,-18.7,867,3.0,351,58.74
2011,1,4,1,30,-18.0,868,3.6,348,55.14
2011,1,4,2,30,-17.2,868,3.8,347,51.61
2011,1,4,3,30,-16.2,868,3.6,348,47.85
2011,1,4,4,30,-15.3,868,3.5,348,44.67
2011,1,4,5,30,-14.8,868,3.5,346,42.82
2011,1,4,6,30,-14.9,868,3.8,342,42.71
2011,1,4,7,30,-16.0,868,3.8,338,46.23
2011,1,4,8,30,-18.0,869,3.8,334,50.31
2011,1,4,9,30,-20.1,869,4.4,333,54.620000000000005
2011,1,4,10,30,-21.6,870,5.0,337,59.67
2011,1,4,11,30,-22.9,870,5.0,340,65.47
2011,1,4,12,30,-23.9,870,4.800000000000001,341,68.74
2011,1,4,13,30,-24.5,870,4.6000000000000005,341,68.48
2011,1,4,14,30,-24.5,871,4.7,339,65.37
2011,1,4,15,30,-24.200000000000003,871,4.9,336,62.45
2011,1,4,16,30,-23.9,871,5.1000000000000005,333,60.33
2011,1,4,17,30,-23.8,872,5.300000000000001,333,58.86
2011,1,4,18,30,-23.700000000000003,872,5.4,334,57.73
2011,1,4,19,30,-23.9,872,5.6000000000000005,334,58.91
2011,1,4,20,30,-24.5,873,5.7,333,60.78
2011,1,4,21,30,-25.200000000000003,873,5.7,335,62.27
2011,1,4,22,30,-25.700000000000003,873,5.800000000000001,336,64.3
2011,1,4,23,30,-26.0,873,5.7,336,64.22
2011,1,5,0,30,-26.1,874,5.800000000000001,337,62.63
2011,1,5,1,30,-24.700000000000003,875,5.9,338,55.97
