Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,753953,-,Selenge,Mongolia,48.81,106.9,0,1583,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Wind Direction,Relative Humidity,Pressure
2013,1,1,0,30,-35.5,334,83.2,844
2013,1,1,1,30,-34.2,336,75.27,844
2013,1,1,2,30,-32,337,74.39,845
2013,1,1,3,30,-30.3,337,77,845
2013,1,1,4,30,-29.6,336,79.49,845
2013,1,1,5,30,-29.3,334,80.8,846
2013,1,1,6,30,-29.400000000000002,332,82.18,846
2013,1,1,7,30,-30,330,85.14,847
2013,1,1,8,30,-31.200000000000003,329,90.64,848
2013,1,1,9,30,-32.6,328,88.87,848
2013,1,1,10,30,-33.5,327,85.79,849
2013,1,1,11,30,-34,324,85.51,849
2013,1,1,12,30,-34.2,319,85.57000000000001,850
2013,1,1,13,30,-34.300000000000004,309,86.02,850
2013,1,1,14,30,-34.6,295,88.9,851
2013,1,1,15,30,-35,277,91.16,851
2013,1,1,16,30,-35.5,262,93.98,851
2013,1,1,17,30,-35.9,250,95.95,852
2013,1,1,18,30,-36.300000000000004,240,96.95,852
2013,1,1,19,30,-36.800000000000004,232,98.55,852
2013,1,1,20,30,-37.300000000000004,225,99.58,852
2013,1,1,21,30,-37.7,217,99.18,853
2013,1,1,22,30,-37.800000000000004,211,95.91,853
2013,1,1,23,30,-37.800000000000004,208,94.23,853
2013,1,2,0,30,-37.4,204,90.92,854
2013,1,2,1,30,-35.800000000000004,203,79.89,854
2013,1,2,2,30,-32.4,205,69.99,854
2013,1,2,3,30,-29.3,209,75.5,854
2013,1,2,4,30,-27.5,214,78.94,855
2013,1,2,5,30,-26.5,217,81.18,855
2013,1,2,6,30,-26.200000000000003,217,84.31,855
2013,1,2,7,30,-27.3,212,93.74,855
2013,1,2,8,30,-29.8,204,99.49000000000001,855
2013,1,2,9,30,-32.1,200,94.91,855
2013,1,2,10,30,-33.300000000000004,198,94.59,855
2013,1,2,11,30,-33.9,197,94.73,855
2013,1,2,12,30,-34.2,195,95.10000000000001,854
2013,1,2,13,30,-34.1,193,93.45,854
2013,1,2,14,30,-33.800000000000004,191,91.92,854
2013,1,2,15,30,-33.6,188,91.4,853
2013,1,2,16,30,-33.4,187,89.83,853
2013,1,2,17,30,-33.1,186,88.55,853
2013,1,2,18,30,-32.9,187,88.49,852
2013,1,2,19,30,-32.800000000000004,186,88.74,852
2013,1,2,20,30,-32.7,185,88.13,852
2013,1,2,21,30,-32.6,183,86.8,851
2013,1,2,22,30,-32.4,181,84.33,850
2013,1,2,23,30,-32.300000000000004,181,82.63,850
2013,1,3,0,30,-31.6,184,76.54,850
2013,1,3,1,30,-29.400000000000002,187,66.02,849
2013,1,3,2,30,-25.900000000000002,191,62.51,849
2013,1,3,3,30,-22.6,197,68.33,849
2013,1,3,4,30,-20.900000000000002,204,72.23,848
2013,1,3,5,30,-20.3,210,75.45,848
2013,1,3,6,30,-20.6,209,80.32000000000001,848
2013,1,3,7,30,-22.6,206,95.71000000000001,847
2013,1,3,8,30,-26.1,203,100,847
2013,1,3,9,30,-29,201,90.24,847
2013,1,3,10,30,-30.400000000000002,199,84.79,847
2013,1,3,11,30,-31.200000000000003,197,82.15,846
2013,1,3,12,30,-31.700000000000003,196,80.3,846
2013,1,3,13,30,-32.2,196,80.34,846
2013,1,3,14,30,-32.5,196,80.49,846
2013,1,3,15,30,-32.7,197,81.54,845
2013,1,3,16,30,-32.800000000000004,197,84.88,845
2013,1,3,17,30,-32.9,197,88.44,845
2013,1,3,18,30,-33.1,198,92.3,845
2013,1,3,19,30,-33.2,199,94.3,844
2013,1,3,20,30,-33.4,199,96.68,844
2013,1,3,21,30,-33.7,198,98.38,844
2013,1,3,22,30,-33.7,196,96.37,844
2013,1,3,23,30,-33.6,195,93.96000000000001,844
2013,1,4,0,30,-33.2,195,89.12,844
2013,1,4,1,30,-31.700000000000003,195,79.67,844
2013,1,4,2,30,-29.400000000000002,199,77.09,844
2013,1,4,3,30,-27,207,76.41,844
2013,1,4,4,30,-25.3,215,78.86,844
2013,1,4,5,30,-24.400000000000002,222,81.19,844
2013,1,4,6,30,-24.1,226,83.74,844
2013,1,4,7,30,-25,224,91.32000000000001,844
2013,1,4,8,30,-27.200000000000003,217,97.36,844
2013,1,4,9,30,-28.8,210,90,845
2013,1,4,10,30,-29.1,206,85.68,845
2013,1,4,11,30,-28.900000000000002,204,83.46000000000001,845
2013,1,4,12,30,-28.5,203,82.49,845
2013,1,4,13,30,-28.400000000000002,204,84.5,845
2013,1,4,14,30,-28.400000000000002,206,85.92,845
2013,1,4,15,30,-28.700000000000003,209,88.95,845
2013,1,4,16,30,-28.900000000000002,210,89.84,845
2013,1,4,17,30,-29.1,210,90.13,845
2013,1,4,18,30,-29.200000000000003,209,90.15,845
2013,1,4,19,30,-29.1,208,89.34,845
2013,1,4,20,30,-29,207,89.78,845
2013,1,4,21,30,-28.8,204,89.94,845
2013,1,4,22,30,-28.6,202,90.10000000000001,845
2013,1,4,23,30,-28.6,201,91.25,845
2013,1,5,0,30,-28.200000000000003,198,89.07000000000001,845
2013,1,5,1,30,-26.8,201,81.9,845
2013,1,5,2,30,-24.6,213,81.86,845
2013,1,5,3,30,-23,227,85.33,845
2013,1,5,4,30,-22.1,237,87.46000000000001,845
2013,1,5,5,30,-21.700000000000003,241,88.87,844
2013,1,5,6,30,-21.6,241,89.67,844
2013,1,5,7,30,-22.1,238,92.31,844
2013,1,5,8,30,-23.5,234,98.79,844
2013,1,5,9,30,-25,229,95.02,844
2013,1,5,10,30,-25.900000000000002,225,92.72,844
2013,1,5,11,30,-26.400000000000002,218,92.54,843
2013,1,5,12,30,-26.900000000000002,211,93.29,843
2013,1,5,13,30,-27.400000000000002,206,93.11,843
2013,1,5,14,30,-28,203,93.87,842
2013,1,5,15,30,-28.400000000000002,203,93.42,842
2013,1,5,16,30,-28.900000000000002,203,94.24,842
2013,1,5,17,30,-29.3,201,95.17,841
2013,1,5,18,30,-29.6,199,96.56,841
2013,1,5,19,30,-29.8,198,97.31,841
2013,1,5,20,30,-30,199,97.69,840
2013,1,5,21,30,-30.1,200,97.93,840
2013,1,5,22,30,-30.1,202,97.69,840
2013,1,5,23,30,-30.1,204,96.83,839
2013,1,6,0,30,-30,210,94.96000000000001,839
2013,1,6,1,30,-28.700000000000003,215,85.02,839
2013,1,6,2,30,-26.200000000000003,223,77.68,840
2013,1,6,3,30,-24,233,80.01,840
2013,1,6,4,30,-22.8,243,82.35000000000001,839
2013,1,6,5,30,-22.400000000000002,257,85.44,839
2013,1,6,6,30,-22.400000000000002,273,87.18,839
2013,1,6,7,30,-22.900000000000002,289,89.69,840
2013,1,6,8,30,-24.1,302,94.7,840
2013,1,6,9,30,-25.6,321,94.85000000000001,840
2013,1,6,10,30,-26.8,343,93.60000000000001,840
2013,1,6,11,30,-27.700000000000003,356,92.37,841
2013,1,6,12,30,-28.200000000000003,180,91.01,841
2013,1,6,13,30,-28.3,179,89.99,841
2013,1,6,14,30,-28.5,353,91.99,841
2013,1,6,15,30,-28.900000000000002,347,92.8,842
2013,1,6,16,30,-29.400000000000002,343,92.46000000000001,842
2013,1,6,17,30,-29.8,340,91.66,842
2013,1,6,18,30,-30.1,338,91.04,843
2013,1,6,19,30,-30.5,336,90.85000000000001,843
2013,1,6,20,30,-30.700000000000003,329,88.99,843
2013,1,6,21,30,-30.700000000000003,313,87.86,843
2013,1,6,22,30,-30.900000000000002,284,89.11,843
2013,1,6,23,30,-31,267,88.59,843
2013,1,7,0,30,-31.700000000000003,233,92.2,844
2013,1,7,1,30,-31.5,227,86.42,844
2013,1,7,2,30,-29.6,229,74.8,844
2013,1,7,3,30,-27.400000000000002,235,79.44,844
2013,1,7,4,30,-26.3,246,82.7,844
2013,1,7,5,30,-25.700000000000003,254,84.88,844
2013,1,7,6,30,-25.6,258,86.47,844
2013,1,7,7,30,-26,254,88.17,845
2013,1,7,8,30,-27,246,92,845
2013,1,7,9,30,-28.200000000000003,236,92.27,845
2013,1,7,10,30,-29.3,229,90.77,845
2013,1,7,11,30,-30.200000000000003,225,92.13,845
