Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5598439,-,b'Magallanes y Antártica Chilena',b'Chile',-53,-70.91,0,65,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Wind Direction,Pressure,Relative Humidity
2022,1,1,0,0,7.5,5.9,284,979,67.3
2022,1,1,1,0,7,5.2,297,979,72.06
2022,1,1,2,0,6.800000000000001,5.2,313,979,75.03
2022,1,1,3,0,6.6000000000000005,5.4,326,978,78.35000000000001
2022,1,1,4,0,6.300000000000001,5.7,337,977,82.41
2022,1,1,5,0,6.1000000000000005,5.9,350,976,85.61
2022,1,1,6,0,6.1000000000000005,6.300000000000001,2,975,86.7
2022,1,1,7,0,6.300000000000001,7,10,973,85.15
2022,1,1,8,0,6.5,7.9,13,971,83.58
2022,1,1,9,0,6.6000000000000005,8.5,13,970,83.94
2022,1,1,10,0,7,8.700000000000001,13,968,83.18
2022,1,1,11,0,7.800000000000001,8.700000000000001,12,967,80.23
2022,1,1,12,0,9.1,8.4,8,966,74.62
2022,1,1,13,0,10.5,7.5,1,964,69.14
2022,1,1,14,0,11.8,6.5,355,963,65.49
2022,1,1,15,0,12.5,5.800000000000001,343,962,65.53
2022,1,1,16,0,12.5,5.5,326,962,67.98
2022,1,1,17,0,12.700000000000001,5.5,305,962,66.23
2022,1,1,18,0,12.9,6.300000000000001,287,962,60.07
2022,1,1,19,0,12.600000000000001,7.4,277,962,55.24
2022,1,1,20,0,12,7.800000000000001,272,962,56.480000000000004
2022,1,1,21,0,11.3,7.6000000000000005,270,963,61.14
2022,1,1,22,0,10.5,7.6000000000000005,266,964,65.39
2022,1,1,23,0,9.5,8.1,255,965,67.48
2022,1,2,0,0,8.200000000000001,8.4,246,966,68.78
2022,1,2,1,0,7.1000000000000005,8,245,968,72.45
2022,1,2,2,0,6.5,7.6000000000000005,251,969,77.43
2022,1,2,3,0,6.1000000000000005,7.6000000000000005,255,969,80.89
2022,1,2,4,0,5.800000000000001,7.5,257,970,82.86
2022,1,2,5,0,5.5,7.5,259,971,84.60000000000001
2022,1,2,6,0,5.300000000000001,7.5,260,971,85.60000000000001
2022,1,2,7,0,5.1000000000000005,7.300000000000001,259,972,86.86
2022,1,2,8,0,4.9,7.2,259,973,88.15
2022,1,2,9,0,5.1000000000000005,7.300000000000001,259,974,86.21000000000001
2022,1,2,10,0,5.7,7.800000000000001,258,975,80.38
