Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3080417,-,-,-,51.25,73.42,0,445,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Wind Speed,Wind Direction
2018,1,1,0,30,-20.400000000000002,83.11,989,3.2,155
2018,1,1,1,30,-20.6,82.58,989,3.7,155
2018,1,1,2,30,-20.900000000000002,81.93,989,4,156
2018,1,1,3,30,-20.8,78.45,988,4.4,157
2018,1,1,4,30,-19.6,74.02,988,4.6000000000000005,158
2018,1,1,5,30,-18,75.10000000000001,988,4.4,158
2018,1,1,6,30,-16.7,76.8,988,3.9000000000000004,157
2018,1,1,7,30,-15.700000000000001,77.87,988,3.5,155
2018,1,1,8,30,-15.3,80.08,987,2.7,150
2018,1,1,9,30,-16.2,87.57000000000001,988,1.9000000000000001,146
2018,1,1,10,30,-18.3,90.22,988,1.7000000000000002,144
2018,1,1,11,30,-20.200000000000003,84.57000000000001,988,2,144
2018,1,1,12,30,-21,81.25,988,2.4000000000000004,144
2018,1,1,13,30,-21,79.61,988,2.8000000000000003,144
2018,1,1,14,30,-20.6,79.07000000000001,988,3.1,146
2018,1,1,15,30,-20.1,78.26,987,3.5,150
2018,1,1,16,30,-19.8,77.54,987,3.7,153
2018,1,1,17,30,-19.5,75.84,987,3.7,156
2018,1,1,18,30,-19.3,74.25,986,3.7,159
2018,1,1,19,30,-19.200000000000003,73.09,986,3.7,161
2018,1,1,20,30,-19.1,71.76,986,3.6,162
2018,1,1,21,30,-19.200000000000003,71.54,986,3.4000000000000004,161
2018,1,1,22,30,-19.3,71.13,986,3.2,160
2018,1,1,23,30,-19.400000000000002,70.72,986,3.1,159
2018,1,2,0,30,-19.700000000000003,71.71000000000001,986,3,155
2018,1,2,1,30,-19.8,71.7,986,3,153
2018,1,2,2,30,-19.700000000000003,71.06,986,3.1,150
2018,1,2,3,30,-18.8,67.44,986,3.6,147
2018,1,2,4,30,-17.1,67.77,986,4.5,145
2018,1,2,5,30,-15.700000000000001,70.91,985,4.800000000000001,142
2018,1,2,6,30,-14.700000000000001,73.53,985,4.5,137
2018,1,2,7,30,-14,76.98,984,4.1000000000000005,131
2018,1,2,8,30,-13.700000000000001,80.36,984,3.7,125
2018,1,2,9,30,-14.3,85.71000000000001,984,3,121
2018,1,2,10,30,-16.1,89.32000000000001,984,2.7,121
2018,1,2,11,30,-17.6,83.68,984,2.9000000000000004,123
2018,1,2,12,30,-18.2,80.9,984,3.2,126
2018,1,2,13,30,-18.5,80.5,984,3.5,129
2018,1,2,14,30,-18.7,80,983,3.6,131
2018,1,2,15,30,-19,80.04,983,3.8000000000000003,132
2018,1,2,16,30,-19.5,80.69,983,3.8000000000000003,132
2018,1,2,17,30,-20.1,80.8,982,3.7,132
2018,1,2,18,30,-20.8,81.16,982,3.5,132
2018,1,2,19,30,-21.6,82.15,982,3.3000000000000003,131
2018,1,2,20,30,-22.400000000000002,82.72,981,3.1,130
2018,1,2,21,30,-23.1,82.41,981,2.8000000000000003,130
2018,1,2,22,30,-23.900000000000002,82.53,981,2.7,130
2018,1,2,23,30,-24.3,79.66,981,2.6,129
2018,1,3,0,30,-25,80.4,981,2.8000000000000003,130
2018,1,3,1,30,-25.200000000000003,79.42,981,3.1,132
2018,1,3,2,30,-25.400000000000002,78.88,981,3.4000000000000004,135
2018,1,3,3,30,-25.1,74.98,981,4,137
2018,1,3,4,30,-23.8,71.29,981,4.6000000000000005,139
2018,1,3,5,30,-22.200000000000003,71.5,980,4.6000000000000005,138
2018,1,3,6,30,-20.900000000000002,72.27,980,4.3,136
2018,1,3,7,30,-19.900000000000002,73.92,981,3.9000000000000004,134
2018,1,3,8,30,-19.400000000000002,76.75,981,3.2,133
2018,1,3,9,30,-20.1,83.55,981,2.4000000000000004,135
2018,1,3,10,30,-22.200000000000003,86.71000000000001,981,2,139
2018,1,3,11,30,-24,81.99,981,2.2,142
2018,1,3,12,30,-24.8,80.45,981,2.3000000000000003,145
