Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3042906,-,-,-,51.25,72.02,0,400,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Pressure,Wind Speed
2019,1,1,0,30,-19.6,83.2,233,986,2.7
2019,1,1,1,30,-19.700000000000003,83.12,227,985,2.8000000000000003
2019,1,1,2,30,-19.700000000000003,82.26,223,985,3.1
2019,1,1,3,30,-19.5,80.22,219,985,3.7
2019,1,1,4,30,-18.8,78.43,218,985,4.2
2019,1,1,5,30,-17.8,78.57000000000001,218,985,4.2
2019,1,1,6,30,-16.900000000000002,80.16,219,985,4
2019,1,1,7,30,-16,81.17,223,984,3.8000000000000003
2019,1,1,8,30,-15.4,82.29,226,984,3.6
2019,1,1,9,30,-15.4,84.39,225,984,2.7
2019,1,1,10,30,-16.2,88.73,222,984,1.8
2019,1,1,11,30,-17.3,87.3,220,983,1.5
2019,1,1,12,30,-17.900000000000002,85.46000000000001,221,983,1.6
2019,1,1,13,30,-18.3,85.37,222,983,1.6
2019,1,1,14,30,-18.5,84.31,221,982,1.6
2019,1,1,15,30,-18.6,83.84,220,982,1.7000000000000002
2019,1,1,16,30,-18.5,83.63,220,982,1.7000000000000002
2019,1,1,17,30,-18.3,83.59,221,983,1.8
2019,1,1,18,30,-18.1,83.94,224,983,1.9000000000000001
2019,1,1,19,30,-18.2,85.01,227,983,1.8
2019,1,1,20,30,-18.400000000000002,84.36,230,983,1.7000000000000002
2019,1,1,21,30,-18.5,83.93,234,982,1.6
2019,1,1,22,30,-18.6,84.15,237,982,1.4000000000000001
2019,1,1,23,30,-18.7,83.23,238,982,1.3
2019,1,2,0,30,-19.200000000000003,84.8,237,982,1.2000000000000002
2019,1,2,1,30,-19.700000000000003,85.3,233,982,1.1
2019,1,2,2,30,-20.400000000000002,85.72,228,982,1.1
2019,1,2,3,30,-20.8,82.22,223,982,1.3
2019,1,2,4,30,-20.200000000000003,78.15,219,983,1.9000000000000001
2019,1,2,5,30,-19.3,79.71000000000001,216,983,2.3000000000000003
2019,1,2,6,30,-18.5,79.55,215,983,2.1
2019,1,2,7,30,-17.7,80.22,217,983,1.7000000000000002
2019,1,2,8,30,-17,81.12,220,983,1.3
2019,1,2,9,30,-16.6,82.41,220,983,0.9
2019,1,2,10,30,-16.900000000000002,84.86,220,983,0.7000000000000001
2019,1,2,11,30,-17.400000000000002,83.06,220,983,0.7000000000000001
2019,1,2,12,30,-17.7,82.28,219,983,0.8
2019,1,2,13,30,-17.900000000000002,81.92,217,983,0.9
2019,1,2,14,30,-18,81.15,213,983,0.9
2019,1,2,15,30,-18.1,80.84,206,983,0.9
2019,1,2,16,30,-18.2,80.58,193,983,0.9
2019,1,2,17,30,-18.5,81.18,168,983,1
2019,1,2,18,30,-18.8,81.54,138,984,1.1
2019,1,2,19,30,-19.3,82.85000000000001,118,984,1.3
2019,1,2,20,30,-20,84.7,110,984,1.4000000000000001
2019,1,2,21,30,-21,88.10000000000001,110,984,1.5
2019,1,2,22,30,-21.8,89.57000000000001,113,984,1.5
2019,1,2,23,30,-22.200000000000003,87.85000000000001,116,984,1.5
2019,1,3,0,30,-22.700000000000003,87.43,125,985,1.5
2019,1,3,1,30,-22.900000000000002,84.59,130,985,1.5
2019,1,3,2,30,-23,81.99,135,985,1.5
2019,1,3,3,30,-22.700000000000003,78.12,140,985,1.5
2019,1,3,4,30,-21.700000000000003,76.09,146,985,2
2019,1,3,5,30,-20.6,77.27,148,985,2.1
2019,1,3,6,30,-19.6,77.04,133,985,1.6
2019,1,3,7,30,-18.5,77.39,99,985,1.6
2019,1,3,8,30,-17.7,79.46000000000001,76,984,1.9000000000000001
2019,1,3,9,30,-17.5,82.26,69,984,1.9000000000000001
2019,1,3,10,30,-18.400000000000002,87.43,68,984,1.5
2019,1,3,11,30,-19.700000000000003,86.17,72,984,1.6
2019,1,3,12,30,-20.3,83.34,78,984,1.9000000000000001
2019,1,3,13,30,-20.6,82.71000000000001,84,984,2.1
2019,1,3,14,30,-21,83.57000000000001,89,984,2.1
2019,1,3,15,30,-21.5,84.23,94,983,2
2019,1,3,16,30,-22,83.79,98,983,1.8
2019,1,3,17,30,-22.5,83.05,98,983,1.5
2019,1,3,18,30,-22.8,82.18,92,983,1.4000000000000001
2019,1,3,19,30,-22.900000000000002,81.79,79,983,1.4000000000000001
2019,1,3,20,30,-22.900000000000002,81.32000000000001,64,983,1.4000000000000001
2019,1,3,21,30,-22.900000000000002,81.19,50,982,1.5
2019,1,3,22,30,-22.900000000000002,80.98,42,982,1.5
2019,1,3,23,30,-22.900000000000002,80.33,39,982,1.5
2019,1,4,0,30,-22.900000000000002,80,35,982,1.5
2019,1,4,1,30,-23,80.25,33,982,1.5
2019,1,4,2,30,-23.1,79.95,33,982,1.4000000000000001
2019,1,4,3,30,-22.8,76.75,37,982,1.6
2019,1,4,4,30,-21.8,75.61,42,982,2.1
2019,1,4,5,30,-20.700000000000003,76.28,43,982,2.2
2019,1,4,6,30,-19.700000000000003,76.92,39,981,2
2019,1,4,7,30,-19,78.92,29,981,1.9000000000000001
2019,1,4,8,30,-18.400000000000002,79.7,16,981,1.9000000000000001
2019,1,4,9,30,-18.2,81.26,182,981,1.6
2019,1,4,10,30,-18.900000000000002,86.2,353,981,1.2000000000000002
2019,1,4,11,30,-19.900000000000002,84.60000000000001,176,981,1.2000000000000002
2019,1,4,12,30,-20.5,82.64,7,982,1.3
2019,1,4,13,30,-20.8,82.18,14,982,1.4000000000000001
2019,1,4,14,30,-20.8,81.91,17,982,1.4000000000000001
2019,1,4,15,30,-20.400000000000002,81.16,18,982,1.4000000000000001
2019,1,4,16,30,-20,81.87,20,983,1.3
2019,1,4,17,30,-19.8,83.15,22,983,1.2000000000000002
2019,1,4,18,30,-19.6,83.28,22,984,1.2000000000000002
2019,1,4,19,30,-19.400000000000002,83.18,22,984,1.2000000000000002
2019,1,4,20,30,-19.200000000000003,83.61,21,984,1
2019,1,4,21,30,-19,84.39,155,984,0.8
2019,1,4,22,30,-19.1,85.62,270,984,0.8
2019,1,4,23,30,-19.1,84.31,249,984,0.9
2019,1,5,0,30,-19.400000000000002,84.41,258,985,0.9
2019,1,5,1,30,-19.700000000000003,84.11,258,986,1
2019,1,5,2,30,-20,83.73,255,987,1.2000000000000002
2019,1,5,3,30,-20,81.4,252,987,1.7000000000000002
2019,1,5,4,30,-19.5,80.26,249,988,2.2
2019,1,5,5,30,-18.8,79.55,245,988,2.3000000000000003
2019,1,5,6,30,-18,79.69,238,988,2.2
2019,1,5,7,30,-17.2,81.26,231,988,2.2
2019,1,5,8,30,-16.5,82.58,226,988,2.2
2019,1,5,9,30,-16.1,84.09,224,988,2
2019,1,5,10,30,-16.7,88.61,224,988,1.4000000000000001
2019,1,5,11,30,-17.900000000000002,87.79,223,989,1.2000000000000002
2019,1,5,12,30,-18.8,86.3,218,989,1.4000000000000001
2019,1,5,13,30,-19.6,86.52,211,989,1.6
2019,1,5,14,30,-20.5,87.69,202,989,1.7000000000000002
2019,1,5,15,30,-21.400000000000002,88.53,192,989,1.9000000000000001
2019,1,5,16,30,-21.700000000000003,85.89,185,989,2.2
2019,1,5,17,30,-21.5,83.57000000000001,180,988,2.7
2019,1,5,18,30,-20.900000000000002,82.03,180,988,3.4000000000000004
2019,1,5,19,30,-20.5,82.69,180,988,4
2019,1,5,20,30,-20.6,83.43,181,987,4.3
2019,1,5,21,30,-21.1,83.54,182,987,4.3
2019,1,5,22,30,-21.6,82.45,182,986,4.3
2019,1,5,23,30,-21.900000000000002,80.07000000000001,183,986,4.4
2019,1,6,0,30,-22.400000000000002,80.94,186,986,4.800000000000001
2019,1,6,1,30,-22.700000000000003,80.9,191,985,4.800000000000001
2019,1,6,2,30,-22.8,79.59,194,985,4.800000000000001
2019,1,6,3,30,-22.5,77.23,195,985,5
2019,1,6,4,30,-21.5,75.06,195,985,5.300000000000001
2019,1,6,5,30,-20.1,75.47,196,984,5.5
2019,1,6,6,30,-18.7,76.67,196,984,5.6000000000000005
2019,1,6,7,30,-17.5,78.82000000000001,197,983,5.7
2019,1,6,8,30,-16.400000000000002,80.3,196,982,5.6000000000000005
2019,1,6,9,30,-15.8,82.63,195,982,5.5
2019,1,6,10,30,-15.700000000000001,84.61,194,981,5.300000000000001
2019,1,6,11,30,-15.700000000000001,84.37,194,981,5.2
2019,1,6,12,30,-15.8,84.79,195,980,5.2
2019,1,6,13,30,-15.9,85.07000000000001,197,979,5.2
2019,1,6,14,30,-15.8,84.57000000000001,199,979,5.2
2019,1,6,15,30,-15.8,85.26,201,978,5.300000000000001
2019,1,6,16,30,-15.9,85.89,202,978,5.4
2019,1,6,17,30,-16.1,86.46000000000001,201,977,5.6000000000000005
2019,1,6,18,30,-16.400000000000002,86.59,200,977,5.800000000000001
2019,1,6,19,30,-16.7,85.8,199,976,5.9
2019,1,6,20,30,-16.900000000000002,84.81,199,976,6
2019,1,6,21,30,-16.900000000000002,83.73,200,975,6.1000000000000005
2019,1,6,22,30,-16.900000000000002,83.67,202,974,6
2019,1,6,23,30,-16.900000000000002,83.64,203,973,5.9
2019,1,7,0,30,-16.900000000000002,83.58,203,972,5.7
2019,1,7,1,30,-16.900000000000002,83.44,204,971,5.5
2019,1,7,2,30,-16.900000000000002,83.34,205,971,5.300000000000001
2019,1,7,3,30,-16.7,81.79,205,971,5.300000000000001
2019,1,7,4,30,-16,79.62,207,970,5.4
2019,1,7,5,30,-14.8,79,210,970,5.4
2019,1,7,6,30,-13.700000000000001,80.56,210,969,5.2
2019,1,7,7,30,-13,82.72,210,969,4.800000000000001
2019,1,7,8,30,-12.5,83.89,211,968,4.3
2019,1,7,9,30,-12.9,88.18,214,967,3.2
2019,1,7,10,30,-14,91.08,216,967,2.2
2019,1,7,11,30,-15,87.39,217,966,1.8
2019,1,7,12,30,-15.3,85.38,218,966,1.7000000000000002
2019,1,7,13,30,-15.5,85.3,219,966,1.6
2019,1,7,14,30,-15.4,83.8,219,966,1.5
2019,1,7,15,30,-15,82.85000000000001,216,965,1.5
2019,1,7,16,30,-14.5,82.82000000000001,214,965,1.6
2019,1,7,17,30,-14.100000000000001,83.26,213,965,1.5
2019,1,7,18,30,-13.700000000000001,82.89,212,964,1.4000000000000001
