Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,708673,-,Töv,Mongolia,47.93,105.58,0,1072,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Pressure,Relative Humidity,Wind Speed,Wind Direction
2015,1,1,0,30,-17.400000000000002,901,57.68,2.2,314
2015,1,1,1,30,-15.5,901,49.28,2.2,317
2015,1,1,2,30,-13,901,44.51,2.4000000000000004,313
2015,1,1,3,30,-11.200000000000001,901,41.07,2,300
2015,1,1,4,30,-9.5,901,39.72,1.7000000000000002,285
2015,1,1,5,30,-8,900,39.11,1.8,281
2015,1,1,6,30,-7.5,901,41.08,1.5,274
2015,1,1,7,30,-8.8,901,51.54,1.1,244
2015,1,1,8,30,-11,901,52.480000000000004,1.4000000000000001,215
2015,1,1,9,30,-12.8,901,51.75,1.7000000000000002,205
2015,1,1,10,30,-13.5,900,52.870000000000005,2,201
2015,1,1,11,30,-13.600000000000001,900,53.76,2.3000000000000003,201
2015,1,1,12,30,-13.5,899,55.76,2.5,202
2015,1,1,13,30,-13.600000000000001,898,59.49,2.5,201
2015,1,1,14,30,-13.8,898,62.92,2.5,198
2015,1,1,15,30,-14.200000000000001,897,65.53,2.5,192
2015,1,1,16,30,-14.600000000000001,896,65.92,2.8000000000000003,184
2015,1,1,17,30,-14.700000000000001,896,62.6,3.3000000000000003,178
2015,1,1,18,30,-14.600000000000001,895,56.01,3.9000000000000004,176
2015,1,1,19,30,-14.700000000000001,894,51.5,4.4,177
2015,1,1,20,30,-15,893,50.38,4.5,180
2015,1,1,21,30,-15.4,892,51.11,4.4,183
2015,1,1,22,30,-15.9,891,52.5,4.1000000000000005,187
2015,1,1,23,30,-16.1,890,52.24,4,189
2015,1,2,0,30,-16,890,50.65,3.6,196
2015,1,2,1,30,-14.100000000000001,889,44.09,3.9000000000000004,199
2015,1,2,2,30,-11.700000000000001,888,40.550000000000004,4.3,198
2015,1,2,3,30,-9.9,887,38.96,4.3,195
2015,1,2,4,30,-8.200000000000001,887,38.2,4.1000000000000005,200
2015,1,2,5,30,-6.9,886,37.88,3.8000000000000003,208
2015,1,2,6,30,-6.7,886,40.68,3.1,211
2015,1,2,7,30,-8.3,885,50.07,2.3000000000000003,210
2015,1,2,8,30,-10.8,885,57.35,2.1,216
2015,1,2,9,30,-11.9,885,59.17,2.3000000000000003,227
2015,1,2,10,30,-12.100000000000001,885,61.42,2.5,236
2015,1,2,11,30,-12.100000000000001,884,62.67,2.6,244
2015,1,2,12,30,-12.200000000000001,884,63.97,2.7,249
2015,1,2,13,30,-12.4,884,65.79,2.8000000000000003,254
2015,1,2,14,30,-12.600000000000001,884,68.03,3,259
2015,1,2,15,30,-12.9,884,70.91,3,262
2015,1,2,16,30,-13.4,884,73.98,3,264
2015,1,2,17,30,-14,884,76.83,2.9000000000000004,266
2015,1,2,18,30,-14.700000000000001,885,80.2,2.7,270
2015,1,2,19,30,-15.3,885,82.74,2.3000000000000003,273
2015,1,2,20,30,-15.8,886,84.97,2,273
2015,1,2,21,30,-16.1,886,86.19,1.7000000000000002,268
2015,1,2,22,30,-16.2,886,85.93,1.6,259
2015,1,2,23,30,-16.2,886,84.9,1.5,254
2015,1,3,0,30,-15.600000000000001,887,79.83,1.5,231
2015,1,3,1,30,-13.3,887,65.8,1.9000000000000001,217
2015,1,3,2,30,-10.5,887,56.9,2.9000000000000004,205
2015,1,3,3,30,-8.4,887,51.6,3.4000000000000004,193
2015,1,3,4,30,-6.7,887,49.08,3.5,186
2015,1,3,5,30,-5.300000000000001,886,48.17,3.4000000000000004,184
2015,1,3,6,30,-4.9,886,50.65,2.8000000000000003,183
2015,1,3,7,30,-6.2,886,59.18,2.1,183
2015,1,3,8,30,-8.3,886,62.75,2,184
2015,1,3,9,30,-9.200000000000001,886,63.75,2.1,185
2015,1,3,10,30,-9.200000000000001,886,64.96000000000001,2.2,186
2015,1,3,11,30,-9.200000000000001,885,66.13,2.4000000000000004,184
2015,1,3,12,30,-9.3,884,66.59,2.6,182
2015,1,3,13,30,-9.200000000000001,884,64.97,3.1,181
2015,1,3,14,30,-9,883,62.27,3.8000000000000003,181
2015,1,3,15,30,-8.6,882,59.77,4.6000000000000005,182
2015,1,3,16,30,-8.4,882,60.22,4.800000000000001,188
2015,1,3,17,30,-8.4,882,63.82,4.2,202
2015,1,3,18,30,-8.200000000000001,882,66.61,3.3000000000000003,224
2015,1,3,19,30,-8.3,882,69.28,2.8000000000000003,254
2015,1,3,20,30,-8.9,883,74.38,2.5,289
2015,1,3,21,30,-9.700000000000001,884,80.96000000000001,2.9000000000000004,323
2015,1,3,22,30,-10.200000000000001,885,86.32000000000001,3.8000000000000003,170
2015,1,3,23,30,-10.4,885,84.67,4.4,0
2015,1,4,0,30,-10.9,887,79.56,5,7
2015,1,4,1,30,-10,888,67.6,5.6000000000000005,8
2015,1,4,2,30,-8.700000000000001,889,60.29,6.9,10
2015,1,4,3,30,-8.3,890,57.02,7.7,11
2015,1,4,4,30,-8.5,890,56.160000000000004,7.9,10
2015,1,4,5,30,-9,891,56.230000000000004,7.9,10
2015,1,4,6,30,-9.8,891,56.9,7.7,9
2015,1,4,7,30,-10.8,892,58.21,7.300000000000001,10
2015,1,4,8,30,-11.9,893,60.08,6.7,10
2015,1,4,9,30,-13,895,62.4,6,9
2015,1,4,10,30,-14,896,63.78,5.6000000000000005,10
2015,1,4,11,30,-14.700000000000001,897,63.53,5.1000000000000005,11
2015,1,4,12,30,-15.700000000000001,898,64.82000000000001,4.3,11
2015,1,4,13,30,-16.5,899,65.74,3.6,10
2015,1,4,14,30,-17.2,900,66.68,2.9000000000000004,9
2015,1,4,15,30,-17.900000000000002,900,67.77,2.2,8
2015,1,4,16,30,-18.5,901,68.77,1.6,6
2015,1,4,17,30,-18.8,901,69.07000000000001,1.1,176
2015,1,4,18,30,-19.200000000000003,901,72.17,0.8,320
2015,1,4,19,30,-19.900000000000002,901,77.06,0.9,278
2015,1,4,20,30,-20.6,901,82.77,1.3,257
2015,1,4,21,30,-20.8,901,85.16,1.7000000000000002,249
2015,1,4,22,30,-20.700000000000003,901,83.77,2.2,246
2015,1,4,23,30,-20.5,901,78.52,2.6,245
2015,1,5,0,30,-20.200000000000003,901,72.35000000000001,3.2,242
2015,1,5,1,30,-18.8,901,64.15,3.5,235
2015,1,5,2,30,-16.5,901,54.42,3.9000000000000004,231
2015,1,5,3,30,-13.8,900,43.46,4.7,240
2015,1,5,4,30,-11.700000000000001,900,36.1,5.4,252
2015,1,5,5,30,-10.5,899,34.910000000000004,5.5,259
2015,1,5,6,30,-10.100000000000001,898,35.56,5.2,262
2015,1,5,7,30,-11,898,40.18,3.9000000000000004,265
2015,1,5,8,30,-13.3,898,48.27,2.5,268
2015,1,5,9,30,-15,899,50.800000000000004,2.2,274
2015,1,5,10,30,-15.600000000000001,899,51.64,2.1,277
2015,1,5,11,30,-16.1,899,53.230000000000004,1.9000000000000001,277
