Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Wind Direction,Pressure,Relative Humidity
2019,1,1,0,0,6.6000000000000005,8.5,244,982,74.39
2019,1,1,1,0,6.0,8.200000000000001,248,983,77.71000000000001
2019,1,1,2,0,5.4,7.9,253,984,80.79
2019,1,1,3,0,4.9,7.6,257,985,84.09
2019,1,1,4,0,4.800000000000001,7.300000000000001,261,986,85.13
2019,1,1,5,0,4.7,7.2,265,986,86.18
2019,1,1,6,0,4.7,7.300000000000001,268,987,86.68
2019,1,1,7,0,4.7,7.4,270,988,87.24
2019,1,1,8,0,4.800000000000001,7.5,270,989,87.16
2019,1,1,9,0,5.0,7.7,269,990,86.24
2019,1,1,10,0,5.5,8.1,267,990,82.34
2019,1,1,11,0,6.300000000000001,8.4,262,991,76.47
2019,1,1,12,0,7.1000000000000005,8.6,258,992,70.83
2019,1,1,13,0,7.800000000000001,8.6,255,992,66.55
2019,1,1,14,0,8.3,8.4,252,993,62.46
2019,1,1,15,0,8.8,8.1,249,994,58.75
2019,1,1,16,0,9.1,7.800000000000001,246,994,57.06
2019,1,1,17,0,9.3,7.5,243,995,56.69
2019,1,1,18,0,9.4,7.2,241,995,56.32
2019,1,1,19,0,9.4,7.0,238,996,56.120000000000005
2019,1,1,20,0,9.2,6.7,235,997,56.92
2019,1,1,21,0,8.9,6.300000000000001,234,997,58.05
2019,1,1,22,0,8.5,5.800000000000001,234,998,59.76
2019,1,1,23,0,8.0,5.300000000000001,237,999,62.39
2019,1,2,0,0,7.2,4.5,239,999,67.74
2019,1,2,1,0,6.300000000000001,4.0,245,1000,74.42
2019,1,2,2,0,5.9,4.2,252,1000,77.39
2019,1,2,3,0,5.5,4.3,258,1000,80.31
2019,1,2,4,0,5.2,4.4,263,1000,82.38
2019,1,2,5,0,4.9,4.5,266,1000,84.83
2019,1,2,6,0,4.800000000000001,4.7,269,1000,86.08
2019,1,2,7,0,4.6000000000000005,4.9,269,1000,87.62
2019,1,2,8,0,4.6000000000000005,5.0,269,1000,88.05
2019,1,2,9,0,5.0,5.6000000000000005,270,1000,86.05
2019,1,2,10,0,5.7,6.2,271,1000,82.0
2019,1,2,11,0,6.4,6.6000000000000005,271,1000,77.88
2019,1,2,12,0,7.4,7.1000000000000005,270,999,72.43
2019,1,2,13,0,8.3,7.6,269,999,67.15
2019,1,2,14,0,9.1,8.0,268,998,62.52
2019,1,2,15,0,9.5,8.1,267,998,60.4
2019,1,2,16,0,10.0,7.800000000000001,265,997,58.19
2019,1,2,17,0,10.6,7.5,264,996,56.56
2019,1,2,18,0,10.9,7.2,265,996,56.83
2019,1,2,19,0,10.9,7.0,267,995,58.4
2019,1,2,20,0,10.6,6.800000000000001,269,995,61.83
2019,1,2,21,0,10.2,6.5,272,994,65.98
2019,1,2,22,0,9.4,6.2,276,994,71.83
2019,1,2,23,0,8.4,5.6000000000000005,282,994,79.15
2019,1,3,0,0,7.5,5.1000000000000005,291,993,85.66
2019,1,3,1,0,6.9,4.9,300,993,89.94
2019,1,3,2,0,6.4,5.1000000000000005,306,992,92.38
2019,1,3,3,0,6.2,5.2,311,991,92.44
2019,1,3,4,0,6.0,5.2,311,990,93.01
2019,1,3,5,0,6.1000000000000005,4.800000000000001,306,990,92.84
2019,1,3,6,0,6.300000000000001,4.3,301,990,93.41
2019,1,3,7,0,6.800000000000001,3.9,294,989,93.35
2019,1,3,8,0,7.4,4.2,278,990,93.03
2019,1,3,9,0,8.1,5.2,254,990,91.22
2019,1,3,10,0,8.4,5.7,239,991,90.72
2019,1,3,11,0,8.8,6.0,232,992,87.97
2019,1,3,12,0,9.3,6.5,229,992,82.81
2019,1,3,13,0,9.7,6.9,229,993,78.04
2019,1,3,14,0,10.1,6.800000000000001,229,994,74.29
2019,1,3,15,0,10.7,6.5,230,994,70.47
2019,1,3,16,0,11.5,6.300000000000001,233,994,67.4
2019,1,3,17,0,11.8,6.1000000000000005,238,995,66.54
2019,1,3,18,0,11.8,6.0,243,995,66.65
2019,1,3,19,0,11.5,6.1000000000000005,250,995,68.17
2019,1,3,20,0,11.4,6.300000000000001,255,995,68.88
2019,1,3,21,0,11.1,6.4,257,995,70.8
2019,1,3,22,0,10.5,6.1000000000000005,256,994,75.13
2019,1,3,23,0,10.0,5.300000000000001,260,994,80.43
2019,1,4,0,0,9.5,4.5,269,994,85.83
2019,1,4,1,0,9.3,4.4,280,993,88.93
2019,1,4,2,0,9.2,4.7,284,993,91.11
2019,1,4,3,0,9.3,5.4,280,992,91.06
2019,1,4,4,0,9.2,6.0,275,992,91.33
2019,1,4,5,0,9.0,6.300000000000001,273,992,91.1
2019,1,4,6,0,8.8,6.4,273,992,90.81
2019,1,4,7,0,8.6,6.800000000000001,272,991,90.43
2019,1,4,8,0,8.4,7.2,270,992,90.16
2019,1,4,9,0,8.4,7.7,265,992,88.59
2019,1,4,10,0,8.5,8.6,255,993,84.45
2019,1,4,11,0,8.700000000000001,9.5,246,993,74.95
2019,1,4,12,0,8.9,9.8,243,994,65.8
2019,1,4,13,0,9.2,9.7,244,995,61.01
2019,1,4,14,0,9.8,9.7,245,995,57.02
2019,1,4,15,0,10.2,9.7,245,995,54.38
2019,1,4,16,0,10.4,9.7,246,995,53.11
2019,1,4,17,0,10.5,9.7,247,995,52.44
2019,1,4,18,0,10.3,9.6,247,995,52.57
2019,1,4,19,0,9.8,9.7,248,995,53.73
2019,1,4,20,0,9.0,9.7,249,995,56.21
2019,1,4,21,0,7.800000000000001,9.5,251,996,61.28
2019,1,4,22,0,6.7,8.8,253,996,68.65
