Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5598484,-,b'None',b'None',-53.9,-70.91,0,29,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Wind Direction,Pressure,Relative Humidity
2022,1,1,0,0,6.9,4.800000000000001,292,992,74.06
2022,1,1,1,0,6.4,4.1000000000000005,306,991,77.89
2022,1,1,2,0,6.300000000000001,4.2,319,991,79.28
2022,1,1,3,0,6.2,4.5,330,990,80.73
2022,1,1,4,0,6.1000000000000005,4.9,339,990,82.43
2022,1,1,5,0,6,5.2,349,989,84.18
2022,1,1,6,0,6.1000000000000005,5.5,2,987,85.03
2022,1,1,7,0,6.2,6.4,11,986,85.58
2022,1,1,8,0,6.300000000000001,7.4,15,984,86.01
2022,1,1,9,0,6.5,8.200000000000001,17,983,86.09
2022,1,1,10,0,7,8.6,18,981,85.12
2022,1,1,11,0,7.6000000000000005,8.700000000000001,17,980,83.93
2022,1,1,12,0,8.4,8.4,15,978,81.56
2022,1,1,13,0,9.4,7.800000000000001,12,977,78.7
2022,1,1,14,0,10.700000000000001,6.9,8,976,74.59
2022,1,1,15,0,11.9,6.1000000000000005,360,975,70.7
2022,1,1,16,0,12.5,6,342,975,68.23
2022,1,1,17,0,12.600000000000001,5.6000000000000005,323,975,66.61
2022,1,1,18,0,12.5,5.6000000000000005,301,975,64.02
2022,1,1,19,0,12.3,6,281,975,60.77
2022,1,1,20,0,11.700000000000001,6.5,275,975,61.19
2022,1,1,21,0,10.8,6.9,270,976,65.4
2022,1,1,22,0,9.5,7.2,262,977,70.61
2022,1,1,23,0,8.3,7.800000000000001,252,978,72.92
2022,1,2,0,0,7.1000000000000005,7.7,247,979,75.48
2022,1,2,1,0,6.4,7.1000000000000005,249,980,78.74
2022,1,2,2,0,6,7,251,981,81.43
2022,1,2,3,0,5.7,7,252,982,82.95
2022,1,2,4,0,5.4,7,253,982,84.12
2022,1,2,5,0,5.2,7,254,983,84.95
2022,1,2,6,0,5,7.1000000000000005,254,984,85.48
2022,1,2,7,0,4.800000000000001,7.2,254,984,85.21000000000001
2022,1,2,8,0,4.5,7.300000000000001,256,985,85.29
2022,1,2,9,0,4.7,7.800000000000001,257,986,82.84
2022,1,2,10,0,5.1000000000000005,8.5,257,987,79.45
2022,1,2,11,0,5.7,9.1,254,988,75.89
2022,1,2,12,0,6.300000000000001,9.5,250,988,72.16
2022,1,2,13,0,7.1000000000000005,9.8,247,989,66.21000000000001
2022,1,2,14,0,7.7,10,247,990,61.26
2022,1,2,15,0,8,10,247,990,58.45
2022,1,2,16,0,8.1,10,248,991,57.59
2022,1,2,17,0,8.1,10,249,992,57.59
2022,1,2,18,0,7.7,10.100000000000001,250,993,58.870000000000005
2022,1,2,19,0,7.2,10.100000000000001,251,993,60.22
2022,1,2,20,0,6.7,10,251,994,61.980000000000004
2022,1,2,21,0,6.4,9.600000000000001,251,995,63.63
2022,1,2,22,0,6.1000000000000005,9,250,995,65.89
2022,1,2,23,0,5.5,8.5,254,996,69.84
2022,1,3,0,0,5,7.7,259,996,74.12
2022,1,3,1,0,4.5,6.9,262,996,78.41
2022,1,3,2,0,4,6.5,263,996,81.48
2022,1,3,3,0,3.8000000000000003,6,265,996,82.59
2022,1,3,4,0,3.6,5.4,266,996,83.69
2022,1,3,5,0,3.5,4.7,267,996,84
2022,1,3,6,0,3.5,4.1000000000000005,267,995,83.25
2022,1,3,7,0,3.4000000000000004,3.6,267,994,82.25
2022,1,3,8,0,3.5,3.2,266,994,80.88
2022,1,3,9,0,4.4,3,263,994,77.92
2022,1,3,10,0,5.2,3.1,255,993,72.04
2022,1,3,11,0,5.9,2.9000000000000004,246,993,67.09
2022,1,3,12,0,6.7,2.5,245,992,62.06
2022,1,3,13,0,7.5,2.2,251,992,58.04
2022,1,3,14,0,8.4,2.2,253,992,54.94
2022,1,3,15,0,9.3,2.6,244,992,53.120000000000005
2022,1,3,16,0,9.9,3.3000000000000003,231,992,52.370000000000005
2022,1,3,17,0,10.3,4.2,220,992,52.04
2022,1,3,18,0,10.4,5.1000000000000005,213,992,52
2022,1,3,19,0,10,6,210,993,52.6
2022,1,3,20,0,9.3,6.6000000000000005,208,994,53.61
2022,1,3,21,0,8.5,6.800000000000001,207,995,54.93
2022,1,3,22,0,7.6000000000000005,6.7,207,997,57.51
2022,1,3,23,0,6.7,6.4,210,998,61.38
2022,1,4,0,0,5.800000000000001,5.7,215,999,66.82000000000001
2022,1,4,1,0,5.300000000000001,5.2,223,1001,72.16
2022,1,4,2,0,5,5,230,1002,76.69
