Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,753998,-,Töv,Mongolia,47.01,106.9,0,1354,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Pressure,Wind Speed,Wind Direction,Relative Humidity
2015,1,1,0,30,-17.2,866,6.5,320,58.980000000000004
2015,1,1,1,30,-16,866,6.4,322,55.07
2015,1,1,2,30,-13.9,866,6.1000000000000005,321,48.93
2015,1,1,3,30,-11.4,867,6.1000000000000005,323,44.2
2015,1,1,4,30,-9.4,867,6.5,325,45.34
2015,1,1,5,30,-8.3,867,6.300000000000001,322,44.75
2015,1,1,6,30,-8.200000000000001,867,5.5,317,43.63
2015,1,1,7,30,-9.5,868,3.8000000000000003,313,48.160000000000004
2015,1,1,8,30,-12,868,2.3000000000000003,307,58.300000000000004
2015,1,1,9,30,-13.700000000000001,868,1.9000000000000001,299,65.19
2015,1,1,10,30,-14.4,868,1.8,286,66.67
2015,1,1,11,30,-14.9,868,1.9000000000000001,269,66.16
2015,1,1,12,30,-15.100000000000001,867,2.1,256,64.91
2015,1,1,13,30,-15.100000000000001,867,2.3000000000000003,248,64.69
2015,1,1,14,30,-15.200000000000001,867,2.4000000000000004,245,66.62
2015,1,1,15,30,-15.5,866,2.4000000000000004,242,69.43
2015,1,1,16,30,-15.9,866,2.4000000000000004,238,70.44
2015,1,1,17,30,-16.2,866,2.4000000000000004,235,66.67
2015,1,1,18,30,-16.5,865,2.5,231,60.01
2015,1,1,19,30,-16.8,864,2.5,228,55.230000000000004
2015,1,1,20,30,-17.2,863,2.5,226,56.33
2015,1,1,21,30,-17.6,862,2.4000000000000004,222,60.31
2015,1,1,22,30,-17.900000000000002,861,2.5,220,63.64
2015,1,1,23,30,-18.1,861,2.5,218,65.21000000000001
2015,1,2,0,30,-17.3,860,3.2,217,59.36
2015,1,2,1,30,-15.200000000000001,859,4.2,219,47.75
2015,1,2,2,30,-12.9,858,4.5,218,38.38
2015,1,2,3,30,-10.700000000000001,856,4.3,219,32.25
2015,1,2,4,30,-8.5,855,4.6000000000000005,230,28.23
2015,1,2,5,30,-6.9,855,4.7,244,26.27
2015,1,2,6,30,-6.7,854,3.7,250,27.7
2015,1,2,7,30,-8.3,853,2.5,253,35.56
2015,1,2,8,30,-10.700000000000001,853,2.3000000000000003,259,43.24
2015,1,2,9,30,-12.100000000000001,853,2.6,264,45.6
2015,1,2,10,30,-12.5,853,2.9000000000000004,270,49.300000000000004
2015,1,2,11,30,-12.5,852,3.1,275,54.51
