Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,708673,-,Töv,Mongolia,47.93,105.58,0,1072,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Pressure,Relative Humidity,Wind Speed,Wind Direction
2014,1,1,0,30,-14.600000000000001,890,87.33,2.2,259
2014,1,1,1,30,-12.5,890,73.76,3,249
2014,1,1,2,30,-9.9,889,63.92,3.8000000000000003,239
2014,1,1,3,30,-7.9,889,57.94,4,239
2014,1,1,4,30,-5.800000000000001,889,51.9,4.2,253
2014,1,1,5,30,-4.4,888,49.28,4.2,265
2014,1,1,6,30,-4.1000000000000005,888,51.54,3.5,268
2014,1,1,7,30,-5.7,888,61.300000000000004,2.5,268
2014,1,1,8,30,-8.3,888,70.5,2.2,267
2014,1,1,9,30,-9.700000000000001,889,74.68,2.3000000000000003,265
2014,1,1,10,30,-9.9,889,75.98,2.5,263
2014,1,1,11,30,-10,889,76.55,2.7,263
2014,1,1,12,30,-10,889,76.19,2.9000000000000004,265
2014,1,1,13,30,-10.100000000000001,889,76.35000000000001,3.1,268
2014,1,1,14,30,-10.4,889,77.28,3.1,271
2014,1,1,15,30,-10.8,889,77.72,3.1,274
2014,1,1,16,30,-11.3,889,77.68,3.1,276
2014,1,1,17,30,-11.8,889,77.24,3.1,279
2014,1,1,18,30,-12.3,890,77.06,3,283
2014,1,1,19,30,-12.9,890,78.62,2.8000000000000003,289
2014,1,1,20,30,-13.5,890,81.16,2.6,295
