Year,Month,Day,Hour,Minute,Temperature,Pressure,Wind Speed,Wind Direction,Relative Humidity
2011,1,1,0,30,-27.5,850,0.9,265,52.41
2011,1,1,1,30,-25.700000000000003,851,0.9,257,46.63
2011,1,1,2,30,-23.5,851,1.2000000000000002,239,42.94
2011,1,1,3,30,-21.6,851,1.7000000000000002,219,39.16
2011,1,1,4,30,-20.0,851,2.2,210,38.68
2011,1,1,5,30,-19.200000000000003,851,2.3000000000000003,210,37.91
2011,1,1,6,30,-19.3,851,2.0,212,40.13
2011,1,1,7,30,-20.700000000000003,852,1.3,213,47.4
2011,1,1,8,30,-22.5,852,0.9,215,53.65
2011,1,1,9,30,-23.3,852,0.8,222,50.56
2011,1,1,10,30,-23.6,852,0.7000000000000001,229,50.27
2011,1,1,11,30,-23.9,853,0.7000000000000001,234,49.99
2011,1,1,12,30,-24.3,853,0.8,235,50.09
2011,1,1,13,30,-24.8,853,0.9,236,50.79
2011,1,1,14,30,-25.1,853,1.0,240,51.120000000000005
2011,1,1,15,30,-25.200000000000003,853,0.9,247,51.18
2011,1,1,16,30,-25.1,853,0.8,259,50.43
2011,1,1,17,30,-25.0,853,0.7000000000000001,271,49.120000000000005
2011,1,1,18,30,-24.8,853,0.5,278,46.83
2011,1,1,19,30,-24.700000000000003,853,0.4,278,44.87
2011,1,1,20,30,-24.6,853,0.3,267,43.24
2011,1,1,21,30,-24.6,853,0.3,252,42.36
2011,1,1,22,30,-24.700000000000003,854,0.3,245,42.42
2011,1,1,23,30,-24.700000000000003,854,0.4,246,42.53
2011,1,2,0,30,-24.200000000000003,854,0.3,252,40.9
2011,1,2,1,30,-22.8,854,0.2,250,38.27
2011,1,2,2,30,-21.200000000000003,854,0.3,212,38.55
2011,1,2,3,30,-19.6,853,0.8,173,35.59
2011,1,2,4,30,-18.3,853,1.2000000000000002,164,33.95
2011,1,2,5,30,-17.8,853,1.3,152,34.78
2011,1,2,6,30,-18.0,853,1.1,138,37.24
2011,1,2,7,30,-18.9,853,0.8,134,44.05
2011,1,2,8,30,-19.8,853,0.6000000000000001,136,48.63
2011,1,2,9,30,-20.1,853,0.6000000000000001,131,45.03
2011,1,2,10,30,-20.0,854,0.5,116,43.69
2011,1,2,11,30,-20.1,854,0.7000000000000001,101,43.47
2011,1,2,12,30,-20.1,853,0.8,95,42.78
2011,1,2,13,30,-20.1,853,0.9,92,43.35
2011,1,2,14,30,-20.0,853,0.9,91,43.86
2011,1,2,15,30,-20.0,853,0.9,90,44.65
2011,1,2,16,30,-20.0,853,0.9,87,45.1
2011,1,2,17,30,-20.0,853,0.9,81,44.88
2011,1,2,18,30,-20.0,853,0.8,74,43.91
2011,1,2,19,30,-20.0,853,0.8,68,42.55
2011,1,2,20,30,-20.0,852,0.8,64,40.72
2011,1,2,21,30,-20.1,852,0.7000000000000001,62,39.19
2011,1,2,22,30,-20.3,852,0.7000000000000001,58,38.29
2011,1,2,23,30,-20.4,852,0.7000000000000001,54,37.43
2011,1,3,0,30,-20.5,852,0.7000000000000001,44,36.57
2011,1,3,1,30,-19.700000000000003,852,0.9,43,36.39
2011,1,3,2,30,-18.3,852,1.2000000000000002,44,39.29
2011,1,3,3,30,-16.900000000000002,852,1.3,58,31.22
2011,1,3,4,30,-15.7,851,1.3,82,31.58
2011,1,3,5,30,-15.1,851,1.4,95,31.86
2011,1,3,6,30,-15.4,851,1.3,95,34.550000000000004
2011,1,3,7,30,-16.6,851,1.0,91,47.79
2011,1,3,8,30,-18.2,851,1.1,86,50.82
2011,1,3,9,30,-18.9,851,1.2000000000000002,81,47.69
2011,1,3,10,30,-19.1,851,1.2000000000000002,78,47.3
2011,1,3,11,30,-19.1,851,1.1,77,46.74
2011,1,3,12,30,-19.0,851,1.0,76,46.21
2011,1,3,13,30,-18.9,850,0.9,72,45.92
2011,1,3,14,30,-18.8,850,0.9,68,46.21
2011,1,3,15,30,-18.9,850,0.9,59,47.3
2011,1,3,16,30,-19.1,850,0.9,45,47.63
2011,1,3,17,30,-19.4,850,0.9,33,48.14
2011,1,3,18,30,-19.9,849,1.1,24,49.15
2011,1,3,19,30,-20.4,849,1.2000000000000002,17,50.92
2011,1,3,20,30,-20.9,849,1.3,13,52.59
2011,1,3,21,30,-21.1,848,1.3,13,53.02
2011,1,3,22,30,-21.3,848,1.5,13,54.16
2011,1,3,23,30,-21.4,848,1.6,13,54.36
2011,1,4,0,30,-21.6,849,2.3000000000000003,11,53.8
2011,1,4,1,30,-20.6,849,3.1,10,48.99
2011,1,4,2,30,-19.3,849,3.4000000000000004,10,46.16
2011,1,4,3,30,-17.8,849,3.4000000000000004,16,44.14
2011,1,4,4,30,-16.7,849,3.3000000000000003,22,44.99
2011,1,4,5,30,-16.3,849,3.1,21,46.77
2011,1,4,6,30,-16.8,850,3.1,15,51.36
2011,1,4,7,30,-18.7,850,3.0,8,60.97
2011,1,4,8,30,-21.200000000000003,851,3.2,3,69.82000000000001
2011,1,4,9,30,-22.6,851,3.9,1,70.54
2011,1,4,10,30,-23.1,851,4.3,180,69.23
2011,1,4,11,30,-23.200000000000003,851,4.5,359,67.32000000000001
2011,1,4,12,30,-23.200000000000003,851,4.6000000000000005,358,65.89
2011,1,4,13,30,-23.200000000000003,851,4.6000000000000005,356,64.92
2011,1,4,14,30,-23.0,851,4.6000000000000005,356,63.17
2011,1,4,15,30,-22.700000000000003,852,4.7,355,61.81
2011,1,4,16,30,-22.4,852,4.800000000000001,355,61.25
2011,1,4,17,30,-22.3,852,4.9,355,61.6
