Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1732733,-,-,-,53.01,-57.02,0,446,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Wind Speed,Pressure
2020,1,1,0,30,-16.400000000000002,71.11,301,0.30000000000000004,972
2020,1,1,1,30,-16,66.61,247,0.2,971
2020,1,1,2,30,-16,63.47,186,0.4,971
2020,1,1,3,30,-16.400000000000002,63.63,181,0.7000000000000001,970
2020,1,1,4,30,-17,65.15,181,0.9,969
2020,1,1,5,30,-17.400000000000002,66.19,178,0.8,969
2020,1,1,6,30,-17.2,70.76,176,0.7000000000000001,968
2020,1,1,7,30,-16.5,77.67,168,0.5,968
2020,1,1,8,30,-16.2,83.73,157,0.4,967
2020,1,1,9,30,-15.9,88.06,150,0.2,966
2020,1,1,10,30,-15.4,90.56,134,0.2,965
2020,1,1,11,30,-14.9,90.9,123,0.2,964
2020,1,1,12,30,-14,88.69,122,0.1,963
2020,1,1,13,30,-12.5,90.02,119,0.1,962
2020,1,1,14,30,-11.200000000000001,92.92,112,0.1,961
2020,1,1,15,30,-10,94.41,101,0.1,960
2020,1,1,16,30,-9,96.77,90,0.1,958
2020,1,1,17,30,-8.3,97.93,85,0.1,958
2020,1,1,18,30,-7.7,98.5,84,0.1,957
2020,1,1,19,30,-7.1000000000000005,98.73,83,0.1,956
2020,1,1,20,30,-6.6000000000000005,99.41,82,0.2,955
2020,1,1,21,30,-6.300000000000001,100,81,0.2,954
2020,1,1,22,30,-6,100,79,0.2,952
2020,1,1,23,30,-5.9,100,78,0.2,952
2020,1,2,0,30,-5.6000000000000005,100,75,0.2,950
2020,1,2,1,30,-5.4,100,70,0.2,948
2020,1,2,2,30,-5.2,100,65,0.1,947
2020,1,2,3,30,-5,100,58,0.1,945
2020,1,2,4,30,-4.7,100,49,0.1,944
2020,1,2,5,30,-4.6000000000000005,100,38,0.1,943
2020,1,2,6,30,-4.5,100,24,0.1,943
2020,1,2,7,30,-4.6000000000000005,100,10,0.1,942
2020,1,2,8,30,-4.7,100,176,0.1,942
2020,1,2,9,30,-5.1000000000000005,100,344,0.1,941
2020,1,2,10,30,-5.800000000000001,100,328,0.1,941
2020,1,2,11,30,-6.300000000000001,100,305,0.1,941
2020,1,2,12,30,-5.9,97.4,280,0.1,941
2020,1,2,13,30,-5,98.43,259,0.1,941
2020,1,2,14,30,-4.3,100,241,0.1,941
2020,1,2,15,30,-3.9000000000000004,100,228,0.1,940
2020,1,2,16,30,-3.8000000000000003,100,221,0.1,940
2020,1,2,17,30,-4.1000000000000005,100,215,0.1,940
2020,1,2,18,30,-4.7,100,213,0.1,940
2020,1,2,19,30,-5.4,100,217,0.1,941
2020,1,2,20,30,-5.800000000000001,100,219,0.1,941
2020,1,2,21,30,-6,100,216,0.1,941
2020,1,2,22,30,-6.1000000000000005,100,218,0.1,941
2020,1,2,23,30,-6.2,100,221,0.1,941
2020,1,3,0,30,-6.4,100,240,0.1,941
2020,1,3,1,30,-6.4,100,257,0.1,941
2020,1,3,2,30,-6.300000000000001,100,266,0.1,942
2020,1,3,3,30,-5.800000000000001,99.69,280,0.1,942
2020,1,3,4,30,-5.2,100,291,0.1,942
2020,1,3,5,30,-4.7,100,295,0.2,943
2020,1,3,6,30,-4.3,100,300,0.2,943
2020,1,3,7,30,-3.8000000000000003,100,302,0.2,944
2020,1,3,8,30,-3.5,100,301,0.2,945
2020,1,3,9,30,-3.4000000000000004,100,302,0.2,945
2020,1,3,10,30,-3.4000000000000004,100,301,0.2,946
2020,1,3,11,30,-3.5,100,297,0.2,947
2020,1,3,12,30,-3.5,100,292,0.2,947
2020,1,3,13,30,-3.2,100,290,0.2,948
2020,1,3,14,30,-2.9000000000000004,100,291,0.2,948
2020,1,3,15,30,-2.7,100,292,0.2,948
2020,1,3,16,30,-2.6,100,292,0.2,948
2020,1,3,17,30,-2.8000000000000003,100,291,0.2,949
2020,1,3,18,30,-3.2,100,288,0.2,949
2020,1,3,19,30,-3.7,100,286,0.2,950
2020,1,3,20,30,-4.3,100,283,0.2,951
2020,1,3,21,30,-5,100,281,0.2,951
2020,1,3,22,30,-5.7,100,279,0.2,952
2020,1,3,23,30,-6,100,278,0.2,952
2020,1,4,0,30,-7.1000000000000005,100,270,0.2,952
2020,1,4,1,30,-7.5,100,271,0.2,952
2020,1,4,2,30,-7.6000000000000005,100,275,0.2,952
2020,1,4,3,30,-7.7,100,275,0.2,953
2020,1,4,4,30,-7.7,100,274,0.2,953
2020,1,4,5,30,-7.7,99.52,275,0.2,953
2020,1,4,6,30,-7.800000000000001,100,277,0.2,953
2020,1,4,7,30,-8,100,275,0.2,953
2020,1,4,8,30,-8.4,100,270,0.2,953
2020,1,4,9,30,-8.8,100,265,0.2,953
2020,1,4,10,30,-9.1,99.60000000000001,265,0.2,953
2020,1,4,11,30,-9.1,99,266,0.2,953
2020,1,4,12,30,-9,97.46000000000001,265,0.2,953
2020,1,4,13,30,-8.6,96.66,265,0.2,953
2020,1,4,14,30,-7.9,96.13,268,0.2,953
