Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1763486,-,-,-,53.01,-55.58,0,0,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Wind Speed,Wind Direction
2017,1,1,0,30,-2.5,96.38,1011,2.1,304
2017,1,1,1,30,-2.8000000000000003,95.69,1012,2.4000000000000004,318
2017,1,1,2,30,-3.3000000000000003,94.96000000000001,1013,2.6,328
2017,1,1,3,30,-4,94.06,1014,2.7,333
2017,1,1,4,30,-4.7,92.38,1016,2.7,335
2017,1,1,5,30,-5.5,91.39,1017,2.6,333
2017,1,1,6,30,-6.300000000000001,90.15,1018,2.4000000000000004,329
2017,1,1,7,30,-7.1000000000000005,88,1019,2.1,324
2017,1,1,8,30,-7.6000000000000005,85.24,1020,1.8,321
2017,1,1,9,30,-7.9,83.29,1022,1.6,318
2017,1,1,10,30,-8.200000000000001,82.96000000000001,1023,1.4000000000000001,314
2017,1,1,11,30,-8.3,82.01,1024,1.2000000000000002,308
2017,1,1,12,30,-8.3,81.17,1025,1,295
2017,1,1,13,30,-8,80.4,1025,0.9,273
2017,1,1,14,30,-7.7,82.68,1025,0.8,251
2017,1,1,15,30,-7.4,84.63,1026,0.9,239
2017,1,1,16,30,-7.2,85.46000000000001,1026,0.9,234
2017,1,1,17,30,-7.1000000000000005,85.11,1027,0.9,234
2017,1,1,18,30,-7.1000000000000005,83.31,1028,0.7000000000000001,244
2017,1,1,19,30,-7.2,80.95,1029,0.30000000000000004,272
2017,1,1,20,30,-7.300000000000001,79.39,1029,0.2,176
2017,1,1,21,30,-7.6000000000000005,79.26,1029,0.6000000000000001,66
2017,1,1,22,30,-7.7,78.21000000000001,1029,1.2000000000000002,81
2017,1,1,23,30,-7.6000000000000005,78.38,1029,1.4000000000000001,88
2017,1,2,0,30,-6.800000000000001,75.97,1028,1.9000000000000001,101
2017,1,2,1,30,-6.300000000000001,76.57000000000001,1027,2.3000000000000003,105
2017,1,2,2,30,-5.800000000000001,77.01,1026,2.5,106
2017,1,2,3,30,-5.300000000000001,78.8,1026,2.6,108
2017,1,2,4,30,-4.800000000000001,81.52,1025,2.7,109
2017,1,2,5,30,-4.1000000000000005,84.13,1025,2.8000000000000003,109
2017,1,2,6,30,-3.3000000000000003,87.05,1024,3,108
2017,1,2,7,30,-2.7,89.09,1023,3.1,109
2017,1,2,8,30,-2.5,91.12,1022,3.1,110
2017,1,2,9,30,-2.3000000000000003,91.53,1022,3,109
2017,1,2,10,30,-2.2,92.21000000000001,1022,2.9000000000000004,107
2017,1,2,11,30,-2.1,92.51,1021,2.8000000000000003,107
2017,1,2,12,30,-2,92.54,1021,2.6,111
2017,1,2,13,30,-2,93.09,1021,2.3000000000000003,111
2017,1,2,14,30,-1.9000000000000001,93.64,1020,2.1,104
2017,1,2,15,30,-1.8,94.03,1019,1.9000000000000001,102
2017,1,2,16,30,-1.8,94.47,1019,1.7000000000000002,98
2017,1,2,17,30,-1.8,94.31,1018,1.5,88
2017,1,2,18,30,-1.9000000000000001,94.31,1018,1.2000000000000002,70
