Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5598439,-,b'Magallanes y Antártica Chilena',b'Chile',-53,-70.91,0,65,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Wind Direction,Pressure,Relative Humidity
2021,1,1,0,0,12.100000000000001,5,300,992,84.56
2021,1,1,1,0,11.600000000000001,5.2,299,992,87.14
2021,1,1,2,0,11.200000000000001,5.1000000000000005,302,992,89.39
2021,1,1,3,0,11.100000000000001,5,302,992,89.58
2021,1,1,4,0,11,5.2,297,992,89.55
2021,1,1,5,0,10.9,5.2,293,992,89.95
2021,1,1,6,0,10.700000000000001,4.6000000000000005,291,992,91.23
2021,1,1,7,0,10.5,4.1000000000000005,291,992,92.29
2021,1,1,8,0,10.5,3.7,294,992,92.26
2021,1,1,9,0,11,3.8000000000000003,299,992,90.64
2021,1,1,10,0,11.4,3.9000000000000004,307,992,89.24
2021,1,1,11,0,11.8,4.3,311,992,87.86
2021,1,1,12,0,12.100000000000001,4.800000000000001,317,991,87.67
2021,1,1,13,0,12.700000000000001,5.5,321,991,86.19
2021,1,1,14,0,13.200000000000001,6,324,990,84.86
2021,1,1,15,0,13.9,6.7,322,990,81.27
2021,1,1,16,0,14.8,7.2,316,989,76.17
2021,1,1,17,0,15.600000000000001,7.7,308,989,72.28
2021,1,1,18,0,15.8,8,305,988,71.34
2021,1,1,19,0,15.9,8.3,305,988,70.79
2021,1,1,20,0,16,8.5,305,987,70.2
2021,1,1,21,0,15.700000000000001,8.8,302,987,70.96000000000001
2021,1,1,22,0,15,9.3,299,987,71.39
2021,1,1,23,0,14.100000000000001,9.5,298,987,71.71000000000001
2021,1,2,0,0,13,9.600000000000001,297,986,73.78
2021,1,2,1,0,12,9.8,295,986,75.92
2021,1,2,2,0,11.3,10.4,293,987,75.61
2021,1,2,3,0,10.600000000000001,11,292,987,76.98
2021,1,2,4,0,10.200000000000001,11.5,290,987,76.49
2021,1,2,5,0,9.8,11.600000000000001,289,987,76.33
2021,1,2,6,0,9.600000000000001,11.700000000000001,288,987,75.73
2021,1,2,7,0,9.4,11.700000000000001,287,987,75.34
2021,1,2,8,0,9.3,11.700000000000001,287,987,74.46000000000001
2021,1,2,9,0,9.3,11.4,287,987,73.54
2021,1,2,10,0,9.700000000000001,11.3,286,987,70.96000000000001
2021,1,2,11,0,10.4,11.4,286,988,67.42
2021,1,2,12,0,11.200000000000001,11.4,286,988,63.49
2021,1,2,13,0,12.100000000000001,11.4,285,988,59.870000000000005
2021,1,2,14,0,12.9,11.4,285,988,56.4
2021,1,2,15,0,13.5,11.4,283,987,54.38
2021,1,2,16,0,13.9,11.4,282,987,53.34
2021,1,2,17,0,14,11.200000000000001,281,987,53.07
2021,1,2,18,0,14,10.9,279,987,53.1
2021,1,2,19,0,13.8,10.600000000000001,277,987,53.59
2021,1,2,20,0,13.4,10,276,987,54.84
2021,1,2,21,0,13,9.200000000000001,277,988,56.92
2021,1,2,22,0,12.3,7.9,278,988,61.75
2021,1,2,23,0,11.5,6.9,280,988,67.95
2021,1,3,0,0,10.4,6.300000000000001,282,988,75.24
2021,1,3,1,0,9.4,6.1000000000000005,284,989,81.65
2021,1,3,2,0,8.8,6.2,283,990,85.11
2021,1,3,3,0,8.4,6.300000000000001,282,990,86.77
2021,1,3,4,0,8.200000000000001,6.300000000000001,281,991,87.07000000000001
