Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3080395,-,-,-,52.13,73.42,0,257,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Pressure,Wind Speed,Wind Direction
2019,1,1,0,30,-20,80.77,1004,4.2,238
2019,1,1,1,30,-19.700000000000003,80.99,1004,4.1000000000000005,236
2019,1,1,2,30,-19.5,81.48,1004,4.1000000000000005,233
2019,1,1,3,30,-19.200000000000003,80.46000000000001,1004,4.3,231
2019,1,1,4,30,-18.3,77.97,1004,4.5,229
2019,1,1,5,30,-17.2,78.77,1004,4.4,229
2019,1,1,6,30,-16.1,79.48,1004,4.4,231
2019,1,1,7,30,-15.4,80.99,1003,4.6000000000000005,236
2019,1,1,8,30,-14.9,80.84,1003,4.4,239
2019,1,1,9,30,-15,83.01,1003,3.2,235
2019,1,1,10,30,-15.8,87.13,1003,2.2,228
2019,1,1,11,30,-16.7,85.39,1003,1.8,225
2019,1,1,12,30,-17.2,83.06,1002,1.9000000000000001,225
2019,1,1,13,30,-17.3,82.2,1002,2,225
2019,1,1,14,30,-17.2,82.41,1002,2.1,225
2019,1,1,15,30,-17.3,83.21000000000001,1002,2.3000000000000003,225
2019,1,1,16,30,-17.400000000000002,83.64,1002,2.4000000000000004,226
2019,1,1,17,30,-17.5,83.8,1002,2.5,228
2019,1,1,18,30,-17.6,83.73,1002,2.7,231
2019,1,1,19,30,-17.7,84.16,1002,2.7,235
2019,1,1,20,30,-17.7,83.79,1002,2.6,240
2019,1,1,21,30,-17.900000000000002,84.4,1002,2.4000000000000004,246
2019,1,1,22,30,-18.2,84.81,1001,2.1,251
2019,1,1,23,30,-18.400000000000002,83.43,1001,1.9000000000000001,254
2019,1,2,0,30,-19,84.89,1001,1.5,255
2019,1,2,1,30,-19.5,85.12,1001,1.3,253
2019,1,2,2,30,-19.900000000000002,84.07000000000001,1001,1.3,250
2019,1,2,3,30,-19.900000000000002,80.72,1002,1.4000000000000001,247
2019,1,2,4,30,-18.7,76.91,1002,2.1,245
2019,1,2,5,30,-17.3,78.55,1002,2.7,246
